Cell_Line,Known_Fusion,Gene1,Gene2,Reference,ensembl_gene_id.x,ensembl_gene_id.y
MCF7,MYO6::SENP6,MYO6,SENP6,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5,ENSG00000196586,ENSG00000112701
MCF7,POP1::MATN2,POP1,MATN2,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5,ENSG00000104356,ENSG00000132561
MCF7,GATAD2B::NUP210L,GATAD2B,NUP210L,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5,ENSG00000261992,ENSG00000143552
MCF7,GATAD2B::NUP210L,GATAD2B,NUP210L,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5,ENSG00000143614,ENSG00000143552
MCF7,ESR1::CCDC170,ESR1,CCDC170,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5,ENSG00000091831,ENSG00000120262
MCF7,ATXN7L3::FAM171A2,ATXN7L3,FAM171A2,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5,ENSG00000087152,ENSG00000161682
MCF7,SYTL2::PICALM,SYTL2,PICALM,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5,ENSG00000137501,ENSG00000073921
MCF7,ADAMTS19::SLC27A6,ADAMTS19,SLC27A6,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5,ENSG00000145808,ENSG00000113396
MCF7,ARHGAP19::DRG1,ARHGAP19,DRG1,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5,ENSG00000213390,ENSG00000185721
MCF7,PAPOLA::AK7,PAPOLA,AK7,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5,ENSG00000090060,ENSG00000140057
MCF7,ANKS1A::UHRF1BP1,ANKS1A,UHRF1BP1,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5,ENSG00000064999,NA
MCF7,ATP1A1::ZFP64,ATP1A1,ZFP64,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5,ENSG00000163399,ENSG00000020256
MCF7,B3GNTL1::SLC9A8,B3GNTL1,SLC9A8,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5,ENSG00000277033,ENSG00000197818
MCF7,B3GNTL1::SLC9A8,B3GNTL1,SLC9A8,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5,ENSG00000175711,ENSG00000197818
MCF7,BCAS3::AMPD1,BCAS3,AMPD1,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5,ENSG00000141376,ENSG00000116748
MCF7,BCAS3::ATXN7,BCAS3,ATXN7,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5,ENSG00000141376,ENSG00000163635
MCF7,BCAS4::ZMYND8,BCAS4,ZMYND8,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5,ENSG00000124243,ENSG00000101040
MCF7,CHEK2::XBP1,CHEK2,XBP1,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5,ENSG00000183765,ENSG00000100219
MCF7,KCND3::PPM1E,KCND3,PPM1E,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5,ENSG00000171385,ENSG00000175175
MCF7,RP11-145E5.5::CDKN2B-AS1,RP11-145E5.5,CDKN2B-AS1,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5,NA,ENSG00000240498
MCF7,NAV1::GPR37L1,NAV1,GPR37L1,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5,ENSG00000134369,ENSG00000170075
MCF7,NCOA3::SULF2,NCOA3,SULF2,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5,ENSG00000124151,ENSG00000196562
MCF7,PLCG1::TOP1,PLCG1,TOP1,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5,ENSG00000124181,ENSG00000198900
MCF7,PNPLA7::DPH7,PNPLA7,DPH7,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5,ENSG00000130653,ENSG00000148399
MCF7,PTPRG::CCDC129,PTPRG,CCDC129,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5,ENSG00000144724,NA
MCF7,PTPRN2::ESYT2,PTPRN2,ESYT2,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5,ENSG00000282185,ENSG00000117868
MCF7,PTPRN2::ESYT2,PTPRN2,ESYT2,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5,ENSG00000155093,ENSG00000117868
MCF7,RSBN1::AP4B1-AS1,RSBN1,AP4B1-AS1,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5,ENSG00000081019,ENSG00000226167
MCF7,SGPP2::ULK4,SGPP2,ULK4,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5,ENSG00000163082,ENSG00000168038
MCF7,TOP1::LOC100128988,TOP1,LOC100128988,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5,ENSG00000198900,NA
MCF7,TSPAN9::TEAD4,TSPAN9,TEAD4,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5,ENSG00000011105,ENSG00000197905
MCF7,UBE2V1::TBX2,UBE2V1,TBX2,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5,ENSG00000244687,ENSG00000121068
MCF7,VAV3::AP4B1-AS1,VAV3,AP4B1-AS1,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5,ENSG00000134215,ENSG00000226167
MCF7,ZMYND8::USP32,ZMYND8,USP32,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5,ENSG00000101040,ENSG00000170832
MCF7,MYH9::EIF3D,MYH9,EIF3D,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5,ENSG00000100345,ENSG00000100353
K562,NUP214::XKR3,NUP214,XKR3,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5,ENSG00000126883,ENSG00000172967
K562,PRIM1::NACA,PRIM1,NACA,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5,ENSG00000198056,ENSG00000196531
K562,BRK1::VHL,BRK1,VHL,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5,ENSG00000254999,ENSG00000134086
K562,ACCS::EXT2,ACCS,EXT2,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5,ENSG00000110455,ENSG00000151348
K562,SLC29A1::HSP90AB1,SLC29A1,HSP90AB1,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5,ENSG00000112759,ENSG00000096384
K562,BCR::ABL1,BCR,ABL1,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5,ENSG00000186716,ENSG00000097007
