Cell_Line	Known_Fusion	Gene1	Gene2	Reference	GENEID.x	v110_name.x	GENEID.y	v110_name.y
MCF7	RPS6KB1::DIAPH3	RPS6KB1	DIAPH3	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5	ENSG00000108443	RPS6KB1	ENSG00000139734	DIAPH3
MCF7	AHCYL1::RAD51C	AHCYL1	RAD51C	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5	ENSG00000168710	AHCYL1	ENSG00000108384	RAD51C
MCF7	C16orf45::ABCC1	C16orf45	ABCC1	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5	ENSG00000166780	BMERB1	ENSG00000103222	ABCC1
MCF7	C16orf62::IQCK	C16orf62	IQCK	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5	ENSG00000103544	VPS35L	ENSG00000174628	IQCK
MCF7	TXLNG::SYAP1	TXLNG	SYAP1	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5	ENSG00000086712	TXLNG	ENSG00000169895	SYAP1
MCF7	MYO6::SENP6	MYO6	SENP6	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5	ENSG00000196586	MYO6	ENSG00000112701	SENP6
MCF7	POP1::MATN2	POP1	MATN2	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5	ENSG00000104356	POP1	ENSG00000132561	MATN2
MCF7	GATAD2B::NUP210L	GATAD2B	NUP210L	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5	ENSG00000143614	GATAD2B	ENSG00000143552	NUP210L
MCF7	ESR1::CCDC170	ESR1	CCDC170	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5	ENSG00000091831	ESR1	ENSG00000120262	CCDC170
MCF7	ATXN7L3::FAM171A2	ATXN7L3	FAM171A2	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5	ENSG00000087152	ATXN7L3	ENSG00000161682	FAM171A2
MCF7	SYTL2::PICALM	SYTL2	PICALM	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5	ENSG00000137501	SYTL2	ENSG00000073921	PICALM
MCF7	ADAMTS19::SLC27A6	ADAMTS19	SLC27A6	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5	ENSG00000145808	ADAMTS19	ENSG00000113396	SLC27A6
MCF7	ARHGAP19::DRG1	ARHGAP19	DRG1	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5	ENSG00000213390	ARHGAP19	ENSG00000185721	DRG1
MCF7	PAPOLA::AK7	PAPOLA	AK7	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5	ENSG00000090060	PAPOLA	ENSG00000140057	AK7
MCF7	ANKS1A::UHRF1BP1	ANKS1A	UHRF1BP1	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5	ENSG00000064999	ANKS1A	BLTP3A ENSG00000065060
MCF7	ATP1A1::ZFP64	ATP1A1	ZFP64	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5	ENSG00000163399	ATP1A1	ENSG00000020256	ZFP64
MCF7	B3GNTL1::SLC9A8	B3GNTL1	SLC9A8	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5	ENSG00000175711	B3GNTL1	ENSG00000197818	SLC9A8
MCF7	BCAS3::AMPD1	BCAS3	AMPD1	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5	ENSG00000141376	BCAS3	ENSG00000116748	AMPD1
MCF7	BCAS3::ATXN7	BCAS3	ATXN7	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5	ENSG00000141376	BCAS3	ENSG00000163635	ATXN7
MCF7	BCAS4::ZMYND8	BCAS4	ZMYND8	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5	ENSG00000124243	BCAS4	ENSG00000101040	ZMYND8
MCF7	CHEK2::XBP1	CHEK2	XBP1	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5	ENSG00000183765	CHEK2	ENSG00000100219	XBP1
MCF7	KCND3::PPM1E	KCND3	PPM1E	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5	ENSG00000171385	KCND3	ENSG00000175175	PPM1E
MCF7	MTAP::CDKN2B-AS1	MTAP	CDKN2B-AS1	https://genome.cshlp.org/content/suppl/2011/02/15/gr.113225.110.DC1/INAKI-Supplemental-information-Revised.pdf	ENSG00000099810	MTAP	ENSG00000240498	CDKN2B-AS1
MCF7	NAV1::GPR37L1	NAV1	GPR37L1	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5	ENSG00000134369	NAV1	ENSG00000170075	GPR37L1
MCF7	NCOA3::SULF2	NCOA3	SULF2	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5	ENSG00000124151	NCOA3	ENSG00000196562	SULF2
MCF7	PLCG1::TOP1	PLCG1	TOP1	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5	ENSG00000124181	PLCG1	ENSG00000198900	TOP1
MCF7	PNPLA7::DPH7	PNPLA7	DPH7	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5	ENSG00000130653	PNPLA7	ENSG00000148399	DPH7
MCF7	PTPRG::CCDC129	PTPRG	CCDC129	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5	ENSG00000144724	PTPRG	ENSG00000180347	ITPRID1
MCF7	PTPRN2::ESYT2	PTPRN2	ESYT2	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5	ENSG00000155093	PTPRN2	ENSG00000117868	ESYT2
MCF7	RSBN1::AP4B1-AS1	RSBN1	AP4B1-AS1	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5	ENSG00000081019	RSBN1	ENSG00000226167	AP4B1-AS1
MCF7	SGPP2::ULK4	SGPP2	ULK4	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5	ENSG00000163082	SGPP2	ENSG00000168038	ULK4
MCF7	TSPAN9::TEAD4	TSPAN9	TEAD4	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5	ENSG00000011105	TSPAN9	ENSG00000197905	TEAD4
MCF7	UBE2V1::TBX2	UBE2V1	TBX2	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5	ENSG00000244687	UBE2V1	ENSG00000121068	TBX2
MCF7	VAV3::AP4B1-AS1	VAV3	AP4B1-AS1	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5	ENSG00000134215	VAV3	ENSG00000226167	AP4B1-AS1
MCF7	ZMYND8::USP32	ZMYND8	USP32	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5	ENSG00000101040	ZMYND8	ENSG00000170832	USP32
MCF7	MYH9::EIF3D	MYH9	EIF3D	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5	ENSG00000100345	MYH9	ENSG00000100353	EIF3D
K562	NUP214::XKR3	NUP214	XKR3	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5	ENSG00000126883	NUP214	ENSG00000172967	XKR3
K562	PRIM1::NACA	PRIM1	NACA	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5	ENSG00000198056	PRIM1	ENSG00000196531	NACA
K562	BRK1::VHL	BRK1	VHL	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5	ENSG00000254999	BRK1	ENSG00000134086	VHL
K562	ACCS::EXT2	ACCS	EXT2	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5	ENSG00000110455	ACCS	ENSG00000151348	EXT2
K562	SLC29A1::HSP90AB1	SLC29A1	HSP90AB1	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5	ENSG00000112759	SLC29A1	ENSG00000096384	HSP90AB1
K562	BCR::ABL1	BCR	ABL1	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5	ENSG00000186716	BCR	ENSG00000097007	ABL1
