"Fusion Gene","Tumor Morphology","Tumor Location","Count"
"SNIP1::PUM1","Adenocarcinoma","Lung","2"
"SNED1::HJURP","Adenocarcinoma","Breast","2"
"SND1::GRM8","Adenocarcinoma","Breast","2"
"SND1::BRAF","Adenocarcinoma","Pancreas","2"
"SND1::BRAF","Adenocarcinoma","Lung","2"
"SND1::AKAP9","Adenocarcinoma","Kidney","2"
"SNCAIP::CSNK1G3","Adenocarcinoma","Pancreas","2"
"SNAPIN::FMNL1","Adenocarcinoma","Oesophagus","2"
"SNAPC5::BPIFB4","Adenocarcinoma","Breast","2"
"SNAP91::SMPX","Adenocarcinoma","Prostate","2"
"SNAP91::BCKDHB","Adenocarcinoma","Prostate","2"
"SNAP29::IGLL1","Adenocarcinoma","Breast","2"
"SNAI1::SLC9A8","Adenocarcinoma","Breast","2"
"SNAI1::PFDN4","Adenocarcinoma","Lung","2"
"SMYD3::ZMYM4","Malignant melanoma","Skin","2"
"SMYD3::WLS","Adenocarcinoma","Breast","2"
"SMYD3::TRIM58","Adenocarcinoma","Prostate","2"
"SMYD3::EDARADD","Adenocarcinoma","Lung","2"
"SMYD3::COPA","Adenocarcinoma","Prostate","2"
"SMYD2::PTP4A1","Transitional cell carcinoma","Bladder","2"
"SMYD2::PROX1","Adenocarcinoma","Liver","2"
"SMYD2::PGBD2","Squamous cell carcinoma","Lung","2"
"SMYD2::LPGAT1","Malignant melanoma","Skin","2"
"SMURF2::UBAC2","Malignant melanoma","Skin","2"
"SMURF2::NGFR","Adenocarcinoma","Breast","2"
"SMURF2::IKZF3","Adenocarcinoma","Breast","2"
"SMURF2::GNA13","Adenocarcinoma","Uterus, corpus","2"
"SMURF2::DEDD2","Adenocarcinoma","Prostate","2"
"SMURF1::TRIM4","Astrocytoma, grade I-II","Brain","2"
"SMURF1::SLC26A5","Adenocarcinoma","Lung","2"
"SMURF1::GJC3","Astrocytoma, grade I-II","Brain","2"
"SMURF1::DNAJC2","Adenocarcinoma","Lung","2"
"SMURF1::CFLAR","Adenocarcinoma","Oesophagus","2"
"SMURF1::CDK14","Adenocarcinoma","Stomach","2"
"SMUG1::PPP2R5A","Adenocarcinoma","Prostate","2"
"SMU1::FAM219A","Adenocarcinoma","Uterus, corpus","2"
"SMU1::AFAP1","Squamous cell carcinoma","Lung","2"
"SMPD3::MEIOB","Adenocarcinoma","Lung","2"
"SMOX::SLC24A3","Adenocarcinoma","Liver","2"
"SMOX::PANK2","Adenocarcinoma","Prostate","2"
"SMOX::EIF3D","Astrocytoma, grade I-II","Brain","2"
"SMO::TSPAN33","Squamous cell carcinoma","Lung","2"
"SMIM7::CACNA1A","Transitional cell carcinoma","Bladder","2"
"SMIM13::TTLL5","Astrocytoma, grade III-IV/Glioblastoma","Brain","2"
"SMG9::KCNN4","Transitional cell carcinoma","Bladder","2"
"SMG7::COLGALT2","Transitional cell carcinoma","Bladder","2"
"SMG6::NXN","Adenocarcinoma","Breast","2"
"SMG6::LRMDA","Adenocarcinoma","Prostate","2"
"SMG5::PMF1","Adenocarcinoma","Stomach","2"
"SMG5::MEF2D","Malignant epithelial tumor, special type","Uterus, corpus","2"
"SMG1::SNF8","Adenocarcinoma","Prostate","2"
"SMDT1::NFAM1","Adenocarcinoma","Lung","2"
"SMCHD1::DLGAP1","Adenocarcinoma","Stomach","2"
"SMC3::MXI1","Adenocarcinoma","Oesophagus","2"
"SMC2::PGM5","Adenocarcinoma","Breast","2"
"SMC2::AKNA","Malignant melanoma","Skin","2"
"SMARCE1::RARA","Adenocarcinoma","Large intestine","2"
"SMARCC2::CS","Adenocarcinoma","Uterus, corpus","2"
"SMARCC1::ZBTB8OS","Adenocarcinoma","Uterus, corpus","2"
"SMARCC1::SYCP2L","Adenocarcinoma","Uterus, corpus","2"
"SMARCC1::SPINK8","Adenocarcinoma","Prostate","2"
"SMARCC1::SHISA5","Transitional cell carcinoma","Bladder","2"
"SMARCC1::DOCK3","Transitional cell carcinoma","Bladder","2"
"SMARCB1::SNW1","Transitional cell carcinoma","Bladder","2"
"SMARCB1::PLAAT2","Adenocarcinoma","Prostate","2"
"SMARCB1::MARK3","Adenocarcinoma","Breast","2"
"SMARCA4::SLC44A2","Adenocarcinoma","Oesophagus","2"
"SMARCA4::RNF216","Malignant epithelial tumor, special type","Uterus, corpus","2"
"SMARCA4::KDM4B","Squamous cell carcinoma","Lung","2"
"SMARCA4::DOCK6","Adenocarcinoma","Lung","2"
"SMARCA4::CARM1","Adenocarcinoma","Ovary","2"
"SMARCA2::ZNF384","Acute lymphoblastic leukemia/lymphoblastic lymphoma","","2"
"SMARCA2::BEND2","Adenocarcinoma","Pancreas","2"
"SMAP2::NLRX1","Malignant melanoma","Skin","2"
"SMAP2::CAP1","Adenocarcinoma","Ovary","2"
"SMAP1::CGA","Adenocarcinoma","Prostate","2"
"SMAGP::TBC1D30","Adenocarcinoma","Oesophagus","2"
"SMAD9::CCNA1","Adenocarcinoma","Prostate","2"
"SMAD6::CIAO2A","Adenocarcinoma","Large intestine","2"
"SMAD5::COL5A1","Astrocytoma, grade I-II","Brain","2"
"SMAD4::SKAP1","Adenocarcinoma","Prostate","2"
"SMAD4::RAX","Astrocytoma, grade III-IV/Glioblastoma","Brain","2"
"SMAD4::NRG1","Squamous cell carcinoma","Lung","2"
"SMAD3::SLC9A9","Adenocarcinoma","Kidney","2"
"SMAD3::SENP8","Adenocarcinoma","Breast","2"
"SMAD2::ZBTB7C","Adenocarcinoma","Breast","2"
"SLX4::ADAM32","Adenocarcinoma","Breast","2"
"SLTM::UACA","Adenocarcinoma","Breast","2"
"SLTM::ATE1","Adenocarcinoma","Breast","2"
"SLMAP::RAF1","Soft tissue tumor, special type","Soft tissue","2"
"SLMAP::CYP11A1","Malignant epithelial tumor, special type","Uterus, corpus","2"
"SLMAP::CUL4B","Adenocarcinoma","Liver","2"
"SLK::ZFHX3","Adenocarcinoma","Lung","2"
"SLK::INA","Adenocarcinoma","Prostate","2"
"SLIT3::HSD17B4","Adenocarcinoma","Breast","2"
"SLIT1::SFRP5","Astrocytoma, grade III-IV/Glioblastoma","Brain","2"
"SLFN11::MIEN1","Adenocarcinoma","Breast","2"
"SLFN11::CCL14","Transitional cell carcinoma","Bladder","2"
"SLCO3A1::HDDC3","Astrocytoma, grade I-II","Brain","2"
"SLCO2B1::HNF4A","Adenocarcinoma","Kidney","2"
"SLCO2A1::RYK","Squamous cell carcinoma","Lung","2"
"SLC9A9::KCNAB1","Squamous cell carcinoma","Lung","2"
"SLC9A8::TOM1L2","Transitional cell carcinoma","Bladder","2"
"SLC9A8::RAE1","Adenocarcinoma","Breast","2"
"SLC9A8::PTGIS","Adenocarcinoma","Stomach","2"
"SLC9A8::BICDL2","Adenocarcinoma","Breast","2"
"SLC7A7::ACIN1","Adenocarcinoma","Oesophagus","2"
"SLC7A6::NFATC3","Adenocarcinoma","Lung","2"
"SLC7A2::TERT","Adenocarcinoma","Liver","2"
"SLC7A1::USPL1","Astrocytoma, grade I-II","Brain","2"
"SLC7A1::RIDA","Adenocarcinoma","Prostate","2"
"SLC7A1::CDX2","Transitional cell carcinoma","Bladder","2"
"SLC6A9::EIF2B3","Adenocarcinoma","Lung","2"
"SLC66A2::CTDP1","Acute lymphoblastic leukemia/lymphoblastic lymphoma","","2"
"SLC5A1::YWHAH","Adenocarcinoma","Stomach","2"
"SLC4A4::TMPRSS11E","Transitional cell carcinoma","Bladder","2"
"SLC4A4::GOLGA4","Adenocarcinoma","Prostate","2"
"SLC4A4::AUNIP","Adenocarcinoma","Prostate","2"
"SLC4A4::ARHGAP6","Adenocarcinoma","Prostate","2"
"SLC4A1AP::GPN1","Astrocytoma, grade III-IV/Glioblastoma","Brain","2"
"SLC49A4::DDT","Adenocarcinoma","Prostate","2"
"SLC47A2::ULK2","Adenocarcinoma","Kidney","2"
"SLC47A2::FADS2","Squamous cell carcinoma","Lung","2"
"SLC47A2::ALDH3A1","Astrocytoma, grade I-II","Brain","2"
"SLC47A2::ALDH3A1","Adenocarcinoma","Kidney","2"
"SLC45A3::ZBTB7B","Adenocarcinoma","Prostate","2"
"SLC45A3::SKIL","Adenocarcinoma","Prostate","2"
"SLC45A3::ETV1","Adenocarcinoma","Prostate","2"
"SLC45A2::CCDC125","Adenocarcinoma","Prostate","2"
"SLC45A2::AMACR","Adenocarcinoma","Prostate","2"
"SLC44A1::RAD23B","Adenocarcinoma","Breast","2"
"SLC44A1::PRKCA","Neuroglial neoplasm, special type","Brain","2"
"SLC44A1::NIPSNAP3A","Adenocarcinoma","Ovary","2"
"SLC43A2::SMG6","Adenocarcinoma","Breast","2"
"SLC41A2::ANAPC7","Adenocarcinoma","Prostate","2"
"SLC3A2::NXF1","Adenocarcinoma","Breast","2"
"SLC3A2::ASRGL1","Malignant epithelial tumor, special type","Uterus, corpus","2"
"SLC39A9::USP15","Adenocarcinoma","Breast","2"
"SLC39A9::SEC23IP","Adenocarcinoma","Ovary","2"
"SLC39A9::RAD51B","Adenocarcinoma","Breast","2"
"SLC39A9::BCL2L13","Astrocytoma, grade III-IV/Glioblastoma","Brain","2"
"SLC39A3::SGTA","Astrocytoma, grade III-IV/Glioblastoma","Brain","2"
"SLC39A3::PLPP2","Adenocarcinoma","Breast","2"
"SLC39A3::DDX39A","Malignant melanoma","Skin","2"
"SLC39A14::PRKDC","Adenocarcinoma","Breast","2"
"SLC39A14::FAM110B","Adenocarcinoma","Liver","2"
"SLC39A11::RPTOR","Adenocarcinoma","Large intestine","2"
"SLC39A11::OPN3","Adenocarcinoma","Prostate","2"
"SLC39A11::CA11","Malignant epithelial tumor, special type","Uterus, corpus","2"
"SLC39A11::ADSS2","Transitional cell carcinoma","Bladder","2"
"SLC38A9::KCNIP1","Adenocarcinoma","Lung","2"
"SLC38A1::UNKL","Adenocarcinoma","Liver","2"
"SLC38A1::GTSE1","Adenocarcinoma","Uterus, corpus","2"
"SLC38A11::RABGAP1L","Adenocarcinoma","Breast","2"
"SLC38A10::TESPA1","Adenocarcinoma","Lung","2"
"SLC38A10::OGFOD3","Adenocarcinoma","Uterus, corpus","2"
"SLC38A10::NPLOC4","Malignant melanoma","Skin","2"
"SLC37A3::FLYWCH2","Adenocarcinoma","Prostate","2"
"SLC37A1::PCP4","Adenocarcinoma","Breast","2"
"SLC37A1::PCNT","Adenocarcinoma","Breast","2"
"SLC37A1::NT5C3A","Adenocarcinoma","Breast","2"
"SLC36A1::SKIC3","Adenocarcinoma","Kidney","2"
"SLC35F2::PIWIL4","Malignant melanoma","Skin","2"
"SLC35F2::AMPD3","Adenocarcinoma","Pancreas","2"
"SLC35E3::OS9","Astrocytoma, grade III-IV/Glioblastoma","Brain","2"
"SLC35E2B::PFKFB4","Transitional cell carcinoma","Bladder","2"
"SLC35D1::PRKAR2B","Adenocarcinoma","Kidney","2"
"SLC35B1::IGFBP4","Adenocarcinoma","Breast","2"
"SLC35A3::CFAP276","Squamous cell carcinoma","Lung","2"
"SLC34A2::ROS1","Squamous cell carcinoma","Lung","2"
"SLC30A7::HHIPL2","Adenocarcinoma","Breast","2"
"SLC30A7::CMTM8","Adenocarcinoma","Prostate","2"
"SLC30A6::BABAM2","Adenocarcinoma","Ovary","2"
"SLC30A6::ACTR2","Adenocarcinoma","Prostate","2"
"SLC30A4::PDE2A","Adenocarcinoma","Prostate","2"
"SLC30A10::MEX3A","Adenocarcinoma","Liver","2"
"SLC2A1::GRHL3","Adenocarcinoma","Breast","2"
"SLC2A13::ZNF329","Transitional cell carcinoma","Bladder","2"
"SLC2A13::TERT","Adenocarcinoma","Kidney","2"
"SLC2A13::RAB3IP","Adenocarcinoma","Lung","2"
"SLC2A13::FAM186A","Malignant melanoma","Skin","2"
"SLC2A10::ACSS2","Squamous cell carcinoma","Lung","2"
"SLC29A2::RAB6A","Adenocarcinoma","Gallbladder/Biliary system","2"
"SLC27A1::PRORP","Malignant epithelial tumor, special type","Uterus, corpus","2"
"SLC27A1::KMT5C","Malignant melanoma","Skin","2"
"SLC26A6::CYP2C8","Adenocarcinoma","Uterus, corpus","2"
"SLC25A51::GLIPR2","Adenocarcinoma","Breast","2"
"SLC25A40::ADAM22","Adenocarcinoma","Prostate","2"
"SLC25A39::EFCAB13","Adenocarcinoma","Prostate","2"
"SLC25A36::PEX5L","Squamous cell carcinoma","Lung","2"
"SLC25A36::CLSTN2","Malignant melanoma","Skin","2"
"SLC25A32::SMYD3","Adenocarcinoma","Ovary","2"
"SLC25A30::CCDC107","Adenocarcinoma","Liver","2"
"SLC25A26::TAFA1","Adenocarcinoma","Kidney","2"
"SLC25A26::IMMT","Astrocytoma, grade III-IV/Glioblastoma","Brain","2"
"SLC25A25::CIZ1","Adenocarcinoma","Ovary","2"
"SLC25A24::DHRS12","Adenocarcinoma","Breast","2"
"SLC25A17::EPN3","Adenocarcinoma","Kidney","2"
"SLC25A16::NDUFA9","Squamous cell carcinoma","Lung","2"
"SLC25A16::DRGX","Malignant melanoma","Skin","2"
"SLC25A14::BCORL1","Adenocarcinoma","Uterus, corpus","2"
"SLC25A13::STK31","Adenocarcinoma","Breast","2"
"SLC25A13::SEM1","Adenocarcinoma","Uterus, corpus","2"
"SLC25A13::MAGI2","Squamous cell carcinoma","Lung","2"
"SLC25A13::CHAMP1","Adenocarcinoma","Lung","2"
"SLC25A13::CD2AP","Adenocarcinoma","Large intestine","2"
"SLC25A10::HGS","Adenocarcinoma","Breast","2"
"SLC24A3::PLCB4","Adenocarcinoma","Breast","2"
"SLC24A3::MACROD2","Squamous cell carcinoma","Lung","2"
"SLC23A2::TMX4","Adenocarcinoma","Kidney","2"
"SLC23A2::PHKB","Adenocarcinoma","Lung","2"
"SLC23A2::CDS2","Adenocarcinoma","Large intestine","2"
"SLC22A3::ZDHHC14","Astrocytoma, grade III-IV/Glioblastoma","Brain","2"
"SLC22A3::CYP20A1","Adenocarcinoma","Liver","2"
"SLC22A25::PACS1","Adenocarcinoma","Lung","2"
"SLC22A23::TRAF3","Squamous cell carcinoma","Lung","2"
"SLC22A23::TNFRSF21","Astrocytoma, grade III-IV/Glioblastoma","Brain","2"
"SLC22A23::LRRC49","Malignant melanoma","Skin","2"
"SLC22A23::ECHDC1","Transitional cell carcinoma","Bladder","2"
"SLC22A23::CAMTA1","Adenocarcinoma","Prostate","2"
"SLC22A15::ANO1","Adenocarcinoma","Breast","2"
"SLC20A2::ZMAT4","Squamous cell carcinoma","Lung","2"
"SLC20A2::TUSC3","Adenocarcinoma","Breast","2"
"SLC20A2::HIP1","Adenocarcinoma","Breast","2"
"SLC20A2::FBXW7","Squamous cell carcinoma","Lung","2"
"SLC1A6::AKAP8L","Malignant epithelial tumor, special type","Uterus, corpus","2"
"SLC1A5::AP2A1","Squamous cell carcinoma","Uterus, cervix","2"
"SLC1A3::SHLD1","Adenocarcinoma","Lung","2"
"SLC1A3::METTL15","Adenocarcinoma","Breast","2"
"SLC1A3::MAPKAP1","Squamous cell carcinoma","Lung","2"
"SLC1A1::SMARCA2","Squamous cell carcinoma","Lung","2"
"SLC18B1::TRMT11","Malignant melanoma","Eye","2"
"SLC16A9::ADK","Adenocarcinoma","Breast","2"
"SLC16A7::GOLPH3","Malignant melanoma","Skin","2"
"SLC16A5::OTOP2","Adenocarcinoma","Lung","2"
"SLC16A5::MRPL58","Adenocarcinoma","Breast","2"
"SLC16A1::SENP6","Adenocarcinoma","Lung","2"
"SLC16A14::SP110","Adenocarcinoma","Lung","2"
"SLC16A10::NME7","Squamous cell carcinoma","Uterus, cervix","2"
"SLC15A4::TMEM132D","Adenocarcinoma","Prostate","2"
"SLC12A8::BFSP2","Adenocarcinoma","Breast","2"
"SLC12A7::TERT","Adenocarcinoma","Liver","2"
"SLC12A7::RASGEF1C","Adenocarcinoma","Lung","2"
"SLC12A7::MTREX","Adenocarcinoma","Liver","2"
"SLC12A6::NUTM1","Acute lymphoblastic leukemia/lymphoblastic lymphoma","","2"
"SLC12A4::DPEP2","Adenocarcinoma","Adrenal","2"
"SLC12A2::MEGF10","Adenocarcinoma","Stomach","2"
"SLC11A2::PFKM","Astrocytoma, grade III-IV/Glioblastoma","Brain","2"
"SLC10A7::FKBP15","Adenocarcinoma","Prostate","2"
"SLC10A7::EYS","Adenocarcinoma","Prostate","2"
"SKIL::GPR160","Adenocarcinoma","Breast","2"
"SKIL::FNDC3B","Squamous cell carcinoma","Lung","2"
"SKI::SSU72","Astrocytoma, grade III-IV/Glioblastoma","Brain","2"
"SKI::FAF1","Adenocarcinoma","Stomach","2"
"SKI::CA6","Malignant melanoma","Skin","2"
"SKAP1::YPEL2","Adenocarcinoma","Breast","2"
"SKAP1::TMEM100","Adenocarcinoma","Breast","2"
"SKAP1::NQO2","Adenocarcinoma","Ovary","2"
"SKAP1::IKZF3","Adenocarcinoma","Breast","2"
"SKAP1::DNAH17","Adenocarcinoma","Kidney","2"
"SKAP1::CALCOCO2","Malignant melanoma","Skin","2"
"SKAP1::BCAS3","Adenocarcinoma","Breast","2"
"SKAP1::ABCC11","Adenocarcinoma","Breast","2"
"SIX1::CYB5R2","Adenocarcinoma","Breast","2"
"SIRT7::CCDC57","Adenocarcinoma","Breast","2"
"SIRT6::CERS4","Adenocarcinoma","Breast","2"
"SIRT1::DNAJC12","Squamous cell carcinoma","Lung","2"
"SIRT1::CELF2","Adenocarcinoma","Lung","2"
"SIPA1L3::RAB8A","Adenocarcinoma","Uterus, corpus","2"
"SIPA1L3::PTOV1","Adenocarcinoma","Stomach","2"
"SIPA1L3::LSM14A","Adenocarcinoma","Breast","2"
"SIPA1L3::GPI","Transitional cell carcinoma","Bladder","2"
"SIPA1L3::ETHE1","Adenocarcinoma","Breast","2"
"SIPA1L3::ERC1","Adenocarcinoma","Ovary","2"
"SIPA1L3::COLEC10","Adenocarcinoma","Uterus, corpus","2"
"SIPA1L3::CEP89","Malignant melanoma","Skin","2"
"SIPA1L2::TRIM11","Adenocarcinoma","Prostate","2"
"SIPA1::FRMD8","Squamous cell carcinoma","Uterus, cervix","2"
"SINHCAF::COA1","Squamous cell carcinoma","Lung","2"
"SINHCAF::CD27","Adenocarcinoma","Lung","2"
"SIN3A::SEMA7A","Adenocarcinoma","Large intestine","2"
"SIN3A::OCA2","Transitional cell carcinoma","Bladder","2"
"SIN3A::NEO1","Adenocarcinoma","Breast","2"
"SIN3A::CSPG4","Adenocarcinoma","Breast","2"
"SIM2::MORC3","Adenocarcinoma","Oesophagus","2"
"SIM2::KCNJ6","Astrocytoma, grade I-II","Brain","2"
"SIM2::GRIK1","Adenocarcinoma","Liver","2"
"SIL1::SMC1B","Squamous cell carcinoma","Lung","2"
"SIK3::PPP1R1B","Adenocarcinoma","Breast","2"
"SIK3::CTNNBIP1","Adenocarcinoma","Adrenal","2"
"SIK3::CFAP68","Acute myeloid leukemia, NOS","","2"
"SIK3::CD3D","Adenocarcinoma","Lung","2"
"SIK2::POU2AF2","Squamous cell carcinoma","Uterus, cervix","2"
"SIK2::PIR","Adenocarcinoma","Prostate","2"
"SIK2::MEGF11","Astrocytoma, grade I-II","Brain","2"
"SIAH2::CFAP97","Adenocarcinoma","Breast","2"
"SIAH1::RIPOR1","Malignant melanoma","Skin","2"
"SHTN1::PRDX3","Transitional cell carcinoma","Bladder","2"
"SHTN1::PDZD8","Adenocarcinoma","Liver","2"
"SHTN1::FAM24B","Adenocarcinoma","Breast","2"
"SHTN1::DZANK1","Adenocarcinoma","Prostate","2"
"SHROOM4::AR","Adenocarcinoma","Gallbladder/Biliary system","2"
"SHROOM3::TRIM28","Adenocarcinoma","Breast","2"
"SHROOM2::REPS2","Transitional cell carcinoma","Bladder","2"
"SHROOM2::FRMPD4","Transitional cell carcinoma","Bladder","2"
"SHROOM2::BHLHE41","Adenocarcinoma","Lung","2"
"SHQ1::PSMB7","Adenocarcinoma","Prostate","2"
"SHPRH::RCL1","Transitional cell carcinoma","Bladder","2"
"SHPRH::PKIB","Adenocarcinoma","Liver","2"
"SHPK::GUCY1A2","Transitional cell carcinoma","Bladder","2"
"SHPK::ATP2A3","Adenocarcinoma","Breast","2"
"SHLD2::SEZ6L2","Adenocarcinoma","Oesophagus","2"
"SHISA5::IP6K2","Squamous cell carcinoma","Uterus, cervix","2"
"SHH::PLCB1","Squamous cell carcinoma","Lung","2"
"SHH::KNG1","Adenocarcinoma","Liver","2"
"SHC2::TJP3","Astrocytoma, grade I-II","Brain","2"
"SHC2::RNF126","Malignant melanoma","Skin","2"
"SHC2::R3HDM4","Astrocytoma, grade I-II","Brain","2"
"SHC2::PTEN","Malignant melanoma","Skin","2"
"SHC2::CREB3L3","Adenocarcinoma","Lung","2"
"SHC1::ASH1L","Adenocarcinoma","Lung","2"
"SHC1::ANAPC5","Malignant melanoma","Skin","2"
"SHB::SLC28A3","Adenocarcinoma","Breast","2"
"SHB::PAX5","Squamous cell carcinoma","Lung","2"
"SHB::LINGO2","Astrocytoma, grade III-IV/Glioblastoma","Brain","2"
"SHB::GRIN2A","Astrocytoma, grade I-II","Brain","2"
"SHANK3::PLXNB2","Adenocarcinoma","Breast","2"
"SHANK3::MIOX","Malignant melanoma","Skin","2"
"SHANK2::WNT11","Adenocarcinoma","Lung","2"
"SHANK2::SYT7","Adenocarcinoma","Large intestine","2"
"SHANK2::RBM4B","Adenocarcinoma","Breast","2"
"SHANK2::PATL1","Adenocarcinoma","Breast","2"
"SHANK2::OPCML","Adenocarcinoma","Breast","2"
"SHANK2::LRTOMT","Transitional cell carcinoma","Bladder","2"
"SHANK2::ITPK1","Adenocarcinoma","Uterus, corpus","2"
"SHANK2::ELP4","Adenocarcinoma","Breast","2"
"SHANK2::EFCAB6","Adenocarcinoma","Lung","2"
"SHANK2::CSTPP1","Squamous cell carcinoma","Lung","2"
"SHANK2::CPT1A","Adenocarcinoma","Breast","2"
"SHANK2::ARHGEF17","Adenocarcinoma","Breast","2"
"SHANK2::ANXA13","Adenocarcinoma","Breast","2"
"SHANK2::ANO1","Transitional cell carcinoma","Bladder","2"
"SH3RF1::SPOCK3","Adenocarcinoma","Large intestine","2"
"SH3PXD2A::STN1","Squamous cell carcinoma","Lung","2"
"SH3PXD2A::RB1","Adenocarcinoma","Ovary","2"
"SH3PXD2A::PDLIM1","Squamous cell carcinoma","Lung","2"
"SH3PXD2A::MAP1S","Adenocarcinoma","Uterus, corpus","2"
"SH3PXD2A::HTRA1","Schwannoma","Soft tissue","2"
"SH3KBP1::VSIG1","Malignant melanoma","Skin","2"
"SH3KBP1::MAP7D2","Adenocarcinoma","Breast","2"
"SH3GLB2::CACNA1A","Adenocarcinoma","Uterus, corpus","2"
"SH3GL1::TAX1BP1","Adenocarcinoma","Breast","2"
"SH3GL1::IRF4","Adenocarcinoma","Breast","2"
"SH3GL1::ANKRD24","Adenocarcinoma","Breast","2"
"SH3BP4::SNED1","Adenocarcinoma","Large intestine","2"
"SH3BP4::MST1R","Squamous cell carcinoma","Uterus, cervix","2"
"SH3BP4::LANCL1","Adenocarcinoma","Pancreas","2"
"SH2D6::NCOA2","Transitional cell carcinoma","Bladder","2"
"SH2D4A::AP3M2","Adenocarcinoma","Prostate","2"
"SH2B3::CUX2","Adenocarcinoma","Breast","2"
"SGTA::INSL3","Adenocarcinoma","Breast","2"
"SGSM3::TNRC6B","Adenocarcinoma","Lung","2"
"SGSM3::DEFB126","Malignant melanoma","Skin","2"
"SGSM2::SRR","Squamous cell carcinoma","Uterus, cervix","2"
"SGSM2::EPN2","Transitional cell carcinoma","Bladder","2"
"SGPL1::BTBD9","Adenocarcinoma","Prostate","2"
"SGMS1::VSTM4","Adenocarcinoma","Prostate","2"
"SGMS1::GAB2","Adenocarcinoma","Lung","2"
"SGK3::NCK1","Malignant melanoma","Skin","2"
"SGK3::DNAJC5B","Adenocarcinoma","Ovary","2"
"SGCB::SPATA18","Squamous cell carcinoma","Lung","2"
"SFXN5::SLC8A1","Adenocarcinoma","Liver","2"
"SFT2D2::SUCO","Squamous cell carcinoma","Lung","2"
"SFT2D1::TENT5A","Malignant melanoma","Eye","2"
"SFSWAP::MYO1H","Astrocytoma, grade I-II","Brain","2"
"SFRP1::ARMC5","Adenocarcinoma","Breast","2"
"SFPQ::ZFP36L2","Acute lymphoblastic leukemia/lymphoblastic lymphoma","","2"
"SFPQ::TFE3","PEComa","Soft tissue","2"
"SFPQ::ABL1","Acute lymphoblastic leukemia/lymphoblastic lymphoma","","2"
"SFMBT2::TGM2","Astrocytoma, grade I-II","Brain","2"
"SFMBT2::AKR1C4","Squamous cell carcinoma","Lung","2"
"SFMBT1::WNT7A","Adenocarcinoma","Lung","2"
"SFMBT1::PTPRG","Malignant melanoma","Skin","2"
"SFMBT1::EML1","Adenocarcinoma","Uterus, corpus","2"
"SFMBT1::ABHD5","Adenocarcinoma","Kidney","2"
"SFI1::OSBP2","Adenocarcinoma","Large intestine","2"
"SF3B3::CDH15","Adenocarcinoma","Lung","2"
"SF3B3::ADAM12","Germ cell tumor, NOS","Testis","2"
"SF3A3::HPCAL4","Malignant epithelial tumor, special type","Uterus, corpus","2"
"SF3A2::AZU1","Adenocarcinoma","Prostate","2"
"SF1::SYT7","Adenocarcinoma","Lung","2"
"SF1::ITPR1","Adenocarcinoma","Breast","2"
"SF1::EHD1","Squamous cell carcinoma","Lung","2"
"SETX::RAB14","Adenocarcinoma","Adrenal","2"
"SETMAR::EYS","Squamous cell carcinoma","Lung","2"
"SETDB2::ERH","Adenocarcinoma","Breast","2"
"SETDB1::PLEKHO1","Adenocarcinoma","Lung","2"
"SETDB1::PKP4","Adenocarcinoma","Breast","2"
"SETDB1::CD46","Adenocarcinoma","Breast","2"
"SETD7::NPY5R","Malignant melanoma","Skin","2"
"SETD5::RAD18","Transitional cell carcinoma","Bladder","2"
"SETD5::MCM7","Adenocarcinoma","Prostate","2"
"SETD5::LMCD1","Adenocarcinoma","Breast","2"
"SETD5::GADL1","Adenocarcinoma","Prostate","2"
"SETD5::ATG7","Adenocarcinoma","Breast","2"
"SETD4::FTCD","Adenocarcinoma","Breast","2"
"SETD4::B4GALT6","Squamous cell carcinoma","Lung","2"
"SETD2::ULK4","Adenocarcinoma","Breast","2"
"SETD2::SCAP","Adenocarcinoma","Stomach","2"
"SETD2::POGLUT1","Adenocarcinoma","Lung","2"
"SETD2::PALMD","Malignant epithelial tumor, special type","Uterus, corpus","2"
"SETD2::KIF9","Adenocarcinoma","Lung","2"
"SETD2::CCDC12","Acute lymphoblastic leukemia/lymphoblastic lymphoma","","2"
"SETD1B::KDM2B","Astrocytoma, grade III-IV/Glioblastoma","Brain","2"
"SETBP1::NFYC","Transitional cell carcinoma","Bladder","2"
"SET::NUP214","Acute undifferentiated leukemia","","2"
"SET::NUP214","Acute myeloid leukemia, NOS","","2"
"SET::NUP214","Acute lymphoblastic leukemia/lymphoblastic lymphoma","","2"
"SESTD1::ACMSD","Adenocarcinoma","Breast","2"
"SESN1::EYS","Squamous cell carcinoma","Lung","2"
"SESN1::ECHDC1","Adenocarcinoma","Lung","2"
"SESN1::CRYBG1","Adenocarcinoma","Breast","2"
"SERPINE2::FARSB","Adenocarcinoma","Large intestine","2"
"SERPINE1::FOSB","Pseudomyogenic hemangioendothelioma","Soft tissue","2"
"SERPIND1::MICALL1","Adenocarcinoma","Liver","2"
"SERINC5::ZFYVE16","Adenocarcinoma","Kidney","2"
"SERINC5::THBS4","Squamous cell carcinoma","Lung","2"
"SERINC5::PLPP1","Adenocarcinoma","Prostate","2"
"SERINC5::MYO10","Malignant melanoma","Skin","2"
"SERINC5::CDYL2","Adenocarcinoma","Prostate","2"
"SERINC3::TWSG1","Adenocarcinoma","Breast","2"
"SERINC3::NCOA5","Malignant epithelial tumor, special type","Uterus, corpus","2"
"SERINC2::ZCCHC17","Squamous cell carcinoma","Lung","2"
