,CanonicalFusionName,Gene1,Gene2,ProfileID,ModelID,TotalReadsSupportingFusion,TotalFusionCoverage,FFPM,SplitReads1,SplitReads2,DiscordantMates,Strand1,Strand2,ReadingFrame
38,CPD--LINC02565,CPD (ENSG00000108582.12),LINC02565 (.),PR-vFBZ2h,ACH-000001,13,191,0.25335849585972264,7,4,2,+/+,./-,out-of-frame
39,CTD-3220F14.1--SIPA1L3,CTD-3220F14.1 (ENSG00000267605.7),SIPA1L3 (ENSG00000105738.11),PR-vFBZ2h,ACH-000001,16,345,0.31182584105812017,3,1,12,-/-,+/+,.
40,CTDSPL2--GOLM2,CTDSPL2 (ENSG00000137770.14),GOLM2 (ENSG00000166734.20),PR-vFBZ2h,ACH-000001,3,745,0.05846734519839753,0,1,2,+/+,+/+,out-of-frame
41,DAP3--SLC25A44,SLC25A44 (ENSG00000160785.14),DAP3 (ENSG00000132676.16),PR-vFBZ2h,ACH-000001,91,1248,1.7735094710180586,1,1,89,+/+,+/+,in-frame
42,DAP3--SLC25A44,SLC25A44 (ENSG00000160785.14),DAP3 (ENSG00000132676.16),PR-vFBZ2h,ACH-000001,423,2007,8.243895672974052,50,146,227,+/+,+/+,out-of-frame
43,DCUN1D2--DCUN1D2,DCUN1D2 (ENSG00000150401.15),DCUN1D2 (ENSG00000150401.15),PR-vFBZ2h,ACH-000001,3,83,0.05846734519839753,1,1,1,-/-,-/-,.
44,DEK--DEK,DEK (ENSG00000124795.17),DEK (ENSG00000124795.17),PR-vFBZ2h,ACH-000001,84,1854,1.637085665555131,26,24,34,-/-,-/+,out-of-frame
45,DNAAF2--RRAS2,DNAAF2 (ENSG00000165506.15),RRAS2 (ENSG00000133818.14),PR-vFBZ2h,ACH-000001,9,330,0.1754020355951926,1,5,3,-/+,-/-,.
46,DNAH17--RBFOX3,DNAH17 (ENSG00000187775.17),RBFOX3 (ENSG00000167281.19),PR-vFBZ2h,ACH-000001,2,3,0.03897823013226502,0,1,1,-/-,-/-,in-frame
47,DUSP13--SAMD8,SAMD8 (ENSG00000156671.15),DUSP13 (ENSG00000079393.21),PR-vFBZ2h,ACH-000001,33,1067,0.6431407971823729,10,8,15,+/+,-/-,in-frame
48,EFL1--GOLGA2P7,GOLGA2P7 (ENSG00000225151.10),EFL1 (ENSG00000140598.15),PR-vFBZ2h,ACH-000001,9,248,0.1754020355951926,2,0,7,-/-,-/+,.
49,EIF4E2--GIGYF2,GIGYF2 (ENSG00000204120.16),EIF4E2 (ENSG00000135930.14),PR-vFBZ2h,ACH-000001,8,23,0.15591292052906008,3,3,2,+/+,+/+,out-of-frame
50,ELK1--PRKAA1,ELK1 (ENSG00000126767.18),PRKAA1 (ENSG00000132356.11),PR-vFBZ2h,ACH-000001,17,384,0.3313149561242527,4,2,11,-/-,-/+,.
51,ELK4--SMURF2,ELK4 (ENSG00000158711.14),SMURF2 (.),PR-vFBZ2h,ACH-000001,32,153,0.6236516821162403,5,7,20,-/-,./-,out-of-frame
52,ELOVL6--ELOVL6,ELOVL6 (ENSG00000170522.10),ELOVL6 (.),PR-vFBZ2h,ACH-000001,3,218,0.05846734519839753,1,1,1,-/-,./-,stop-codon
53,EPHA2--RP11-534L20.5,RP11-534L20.5 (ENSG00000261000.1),EPHA2 (ENSG00000142627.13),PR-vFBZ2h,ACH-000001,10,1522,0.19489115066132512,7,2,1,+/+,-/-,.
54,EWSR1--ZNRF3,EWSR1 (ENSG00000182944.18),ZNRF3 (ENSG00000183579.16),PR-vFBZ2h,ACH-000001,50,1274,0.9744557533066256,10,17,23,+/+,+/+,out-of-frame
55,FAM168A--FCHSD2,FCHSD2 (ENSG00000137478.15),FAM168A (ENSG00000054965.11),PR-vFBZ2h,ACH-000001,73,333,1.4227053998276733,16,34,23,-/-,-/-,in-frame
56,FAR2--MKX,FAR2 (ENSG00000064763.11),MKX (ENSG00000150051.14),PR-vFBZ2h,ACH-000001,6,235,0.11693469039679506,3,3,0,+/+,-/-,in-frame
57,FCHSD2--OR8R1P,FCHSD2 (ENSG00000137478.15),OR8R1P (.),PR-vFBZ2h,ACH-000001,9,220,0.1754020355951926,2,1,6,-/-,./-,out-of-frame
58,FCHSD2--OR8R1P,FCHSD2 (ENSG00000137478.15),OR8R1P (ENSG00000256347.1),PR-vFBZ2h,ACH-000001,6,220,0.11693469039679506,0,2,4,-/-,+/-,out-of-frame
59,FCHSD2--P2RY6,FCHSD2 (ENSG00000137478.15),P2RY6 (ENSG00000171631.16),PR-vFBZ2h,ACH-000001,7,206,0.1364238054629276,2,0,5,-/-,+/-,out-of-frame
60,FCHSD2--STARD10,STARD10 (ENSG00000214530.10),FCHSD2 (ENSG00000137478.15),PR-vFBZ2h,ACH-000001,72,1429,1.4032162847615408,7,32,33,-/-,-/-,in-frame
61,GAB2--INTS4,INTS4 (ENSG00000149262.17),GAB2 (ENSG00000033327.13),PR-vFBZ2h,ACH-000001,3,815,0.05846734519839753,2,0,1,-/-,-/-,.
62,GAB2--PROB1,PROB1 (ENSG00000228672.4),GAB2 (ENSG00000033327.13),PR-vFBZ2h,ACH-000001,23,220,0.44824964652104776,4,11,8,-/+,-/-,.
63,GSTCD--RN7SL89P,GSTCD (ENSG00000138780.15),RN7SL89P (.),PR-vFBZ2h,ACH-000001,3,148,0.05846734519839753,1,0,2,+/+,./+,out-of-frame
64,HMGN1P9--SLCO2A1,SLCO2A1 (ENSG00000174640.15),HMGN1P9 (.),PR-vFBZ2h,ACH-000001,2,27,0.03897823013226502,1,1,0,-/-,./-,out-of-frame
65,IL1RAPL2--TCEAL3,IL1RAPL2 (ENSG00000189108.13),TCEAL3 (ENSG00000196507.11),PR-vFBZ2h,ACH-000001,7,369,0.1364238054629276,2,1,4,+/+,+/+,.
66,ING5--THAP4,THAP4 (ENSG00000176946.12),ING5 (.),PR-vFBZ2h,ACH-000001,12,207,0.23386938079359013,3,2,7,-/-,./-,out-of-frame
67,INPP5F--RGS10,RGS10 (ENSG00000148908.15),INPP5F (ENSG00000198825.15),PR-vFBZ2h,ACH-000001,35,1078,0.6821190273146379,12,9,14,-/-,+/-,out-of-frame
68,ITGA11--RP3-359N14.1,RP3-359N14.1 (ENSG00000219088.1),ITGA11 (ENSG00000137809.17),PR-vFBZ2h,ACH-000001,2,2,0.03897823013226502,0,1,1,+/+,-/-,.
69,ITSN2--OTOF,ITSN2 (ENSG00000198399.15),OTOF (ENSG00000115155.19),PR-vFBZ2h,ACH-000001,16,30,0.31182584105812017,1,1,14,-/-,-/-,.
70,ITSN2--OTOF,ITSN2 (ENSG00000198399.15),OTOF (ENSG00000115155.19),PR-vFBZ2h,ACH-000001,35,142,0.6821190273146379,7,14,14,-/-,-/-,out-of-frame
71,JAK2--RNU6-694P,JAK2 (ENSG00000096968.14),RNU6-694P (.),PR-vFBZ2h,ACH-000001,9,39,0.1754020355951926,3,1,5,+/+,./+,stop-codon
72,KRT7--KRT8,KRT8 (ENSG00000170421.12),KRT7 (ENSG00000135480.16),PR-vFBZ2h,ACH-000001,11,40468,0.21438026572745764,2,5,4,-/-,+/+,in-frame
73,LDLRAD3--SLC1A2,LDLRAD3 (ENSG00000179241.13),SLC1A2 (ENSG00000110436.13),PR-vFBZ2h,ACH-000001,34,187,0.6626299122485054,12,6,16,+/+,-/+,out-of-frame
74,LGI1--SLC35G1,LGI1 (.),SLC35G1 (ENSG00000176273.15),PR-vFBZ2h,ACH-000001,5,3,0.09744557533066256,1,0,4,./.,+/.,.
75,LINC00963--RP11-65J3.2,LINC00963 (ENSG00000204054.14),RP11-65J3.2 (ENSG00000226355.2),PR-vFBZ2h,ACH-000001,5,312,0.09744557533066256,1,2,2,+/+,+/+,.
76,LINC01517--MED21,MED21 (ENSG00000152944.9),LINC01517 (ENSG00000232624.8),PR-vFBZ2h,ACH-000001,3,115,0.05846734519839753,1,0,2,+/+,+/-,.
77,LINC01541--MBP,MBP (ENSG00000197971.16),LINC01541 (ENSG00000260676.5),PR-vFBZ2h,ACH-000001,56,482,1.0913904437034208,22,15,19,-/-,-/+,out-of-frame
78,LINC01899--MBP,MBP (ENSG00000197971.16),LINC01899 (ENSG00000265352.1),PR-vFBZ2h,ACH-000001,236,605,4.599431155607273,75,53,108,-/-,-/-,out-of-frame
79,LRFN1--ZNF331,LRFN1 (ENSG00000128011.5),ZNF331 (ENSG00000130844.19),PR-vFBZ2h,ACH-000001,34,631,0.6626299122485054,1,4,29,-/-,+/-,out-of-frame
80,LRRC75A--RASD1,LRRC75A (ENSG00000181350.12),RASD1 (.),PR-vFBZ2h,ACH-000001,3,16,0.05846734519839753,1,2,0,-/-,./-,out-of-frame
81,MAFIP--RP11-1281K21.9,MAFIP (ENSG00000278212.2),RP11-1281K21.9 (.),PR-vFBZ2h,ACH-000001,3,870,0.05846734519839753,2,1,0,-/-,./-,.
82,MAFIP--RP11-241F15.1,MAFIP (ENSG00000278212.2),RP11-241F15.1 (.),PR-vFBZ2h,ACH-000001,11,879,0.21438026572745764,3,4,4,-/-,./+,.
83,MAPK8IP3--TSC2,TSC2 (ENSG00000103197.18),MAPK8IP3 (ENSG00000138834.14),PR-vFBZ2h,ACH-000001,35,637,0.6821190273146379,1,34,0,+/+,+/+,.
84,MAPKAPK5P1--TM9SF3,TM9SF3 (ENSG00000077147.16),MAPKAPK5P1 (.),PR-vFBZ2h,ACH-000001,7,1280,0.1364238054629276,4,0,3,-/-,./-,out-of-frame
85,MORF4L2--NXF3,NXF3 (.),MORF4L2 (ENSG00000123562.18),PR-vFBZ2h,ACH-000001,7,251,0.1364238054629276,0,5,2,./-,-/-,.
86,MORF4L2-AS1--NXF3,MORF4L2-AS1 (ENSG00000231154.1),NXF3 (.),PR-vFBZ2h,ACH-000001,9,251,0.1754020355951926,5,0,4,+/+,./+,.
87,MORF4L2-AS1--RPSAP59,MORF4L2-AS1 (ENSG00000231154.1),RPSAP59 (.),PR-vFBZ2h,ACH-000001,3,22,0.05846734519839753,2,1,0,+/+,./+,.
88,MPP7--SVIL,SVIL (ENSG00000197321.15),MPP7 (ENSG00000150054.19),PR-vFBZ2h,ACH-000001,48,217,0.9354775231743605,5,15,28,-/-,-/-,.
89,MSI2--RNF123,MSI2 (ENSG00000153944.12),RNF123 (ENSG00000164068.16),PR-vFBZ2h,ACH-000001,11,477,0.21438026572745764,3,4,4,+/+,+/+,out-of-frame
90,MTA3--RP11-459K11.1,MTA3 (ENSG00000057935.14),RP11-459K11.1 (.),PR-vFBZ2h,ACH-000001,31,446,0.6041625670501078,3,6,22,+/+,./+,out-of-frame
91,MTHFD1--PLEKHG3,PLEKHG3 (ENSG00000126822.18),MTHFD1 (ENSG00000100714.17),PR-vFBZ2h,ACH-000001,3,607,0.05846734519839753,0,3,0,+/+,+/+,in-frame
92,MUC16--ZNF562,MUC16 (.),ZNF562 (ENSG00000171466.10),PR-vFBZ2h,ACH-000001,53,267,1.032923098505023,12,16,25,./-,-/-,.
93,MYO9A--ZYG11B,MYO9A (ENSG00000066933.16),ZYG11B (ENSG00000162378.13),PR-vFBZ2h,ACH-000001,3,89,0.05846734519839753,2,0,1,-/-,+/+,in-frame
94,MYO9A--ZYG11B,MYO9A (ENSG00000066933.16),ZYG11B (ENSG00000162378.13),PR-vFBZ2h,ACH-000001,2,94,0.03897823013226502,1,0,1,-/-,+/+,out-of-frame
95,NEU1--SPEN,SPEN (ENSG00000065526.12),NEU1 (ENSG00000204386.12),PR-vFBZ2h,ACH-000001,17,1642,0.3313149561242527,4,4,9,+/+,-/-,out-of-frame
96,NF1--RAB11FIP4,RAB11FIP4 (ENSG00000131242.18),NF1 (ENSG00000196712.18),PR-vFBZ2h,ACH-000001,6,245,0.11693469039679506,0,6,0,+/+,+/+,in-frame
97,NOLC1--SUFU,SUFU (ENSG00000107882.12),NOLC1 (.),PR-vFBZ2h,ACH-000001,6,93,0.11693469039679506,0,2,4,+/+,./+,out-of-frame
98,NUP98--RP11-403P17.5,RP11-403P17.5 (ENSG00000260851.7),NUP98 (ENSG00000110713.17),PR-vFBZ2h,ACH-000001,5,11,0.09744557533066256,2,0,3,-/-,-/+,.
99,OGFOD3--RP13-1032I1.10,RP13-1032I1.10 (ENSG00000262660.1),OGFOD3 (ENSG00000181396.13),PR-vFBZ2h,ACH-000001,168,871,3.274171331110262,59,32,77,+/+,-/-,.
100,OGFOD3--RP13-1032I1.10,RP13-1032I1.10 (ENSG00000262660.1),OGFOD3 (ENSG00000181396.13),PR-vFBZ2h,ACH-000001,6,420,0.11693469039679506,0,2,4,+/.,-/.,.
101,OTUD7A--RP11-736I24.5,RP11-736I24.5 (ENSG00000284906.2),OTUD7A (ENSG00000169918.10),PR-vFBZ2h,ACH-000001,4,88,0.07795646026453004,1,0,3,+/+,-/-,.
102,PARD3--PARD3,PARD3 (ENSG00000148498.16),PARD3 (ENSG00000148498.16),PR-vFBZ2h,ACH-000001,6,191,0.11693469039679506,1,2,3,-/-,-/+,out-of-frame
103,PEF1--RP1-197B17.7,RP1-197B17.7 (ENSG00000280054.1),PEF1 (ENSG00000162517.13),PR-vFBZ2h,ACH-000001,3,26,0.05846734519839753,0,1,2,-/-,-/+,.
104,PGC--TFEB,TFEB (ENSG00000112561.19),PGC (ENSG00000096088.16),PR-vFBZ2h,ACH-000001,4,31,0.07795646026453004,2,2,0,-/-,-/-,.
105,PIGF--RPS29,RPS29 (ENSG00000213741.11),PIGF (ENSG00000151665.13),PR-vFBZ2h,ACH-000001,3,11945,0.05846734519839753,3,0,0,-/-,-/-,in-frame
106,PPP1R3F--TFE3,TFE3 (ENSG00000068323.17),PPP1R3F (ENSG00000049769.14),PR-vFBZ2h,ACH-000001,5,98,0.09744557533066256,0,1,4,-/-,+/-,stop-codon
107,RAB11AP1--SLC35G1,SLC35G1 (ENSG00000176273.15),RAB11AP1 (.),PR-vFBZ2h,ACH-000001,3,44,0.05846734519839753,2,0,1,+/+,./+,out-of-frame
108,RNF144B--RNF144B,RNF144B (ENSG00000137393.10),RNF144B (.),PR-vFBZ2h,ACH-000001,22,43,0.4287605314549153,7,6,9,+/.,./.,.
109,RP11-210N13.1--TMEM117,TMEM117 (ENSG00000139173.10),RP11-210N13.1 (ENSG00000257896.1),PR-vFBZ2h,ACH-000001,4,210,0.07795646026453004,1,2,1,+/+,+/+,out-of-frame
110,RP11-214N9.1--RRM2,RRM2 (ENSG00000171848.16),RP11-214N9.1 (.),PR-vFBZ2h,ACH-000001,18,78,0.3508040711903852,1,5,12,+/+,./+,stop-codon
111,RP11-65B23.3--SMOX,RP11-65B23.3 (.),SMOX (ENSG00000088826.18),PR-vFBZ2h,ACH-000001,13,75,0.25335849585972264,2,7,4,./.,+/.,.
112,RP11-73B8.2--TMEM117,TMEM117 (ENSG00000139173.10),RP11-73B8.2 (.),PR-vFBZ2h,ACH-000001,3,91,0.05846734519839753,2,0,1,+/+,./+,out-of-frame
113,SKAP1--SP2-AS1,SP2-AS1 (ENSG00000234494.7),SKAP1 (ENSG00000141293.16),PR-vFBZ2h,ACH-000001,4,13,0.07795646026453004,0,2,2,-/-,-/-,.
114,SLC22A15--ZBTB17,ZBTB17 (ENSG00000116809.12),SLC22A15 (ENSG00000163393.13),PR-vFBZ2h,ACH-000001,6,236,0.11693469039679506,1,2,3,-/-,+/+,.
115,SRP68--ST6GALNAC1,SRP68 (ENSG00000167881.15),ST6GALNAC1 (.),PR-vFBZ2h,ACH-000001,7,671,0.1364238054629276,0,4,3,-/-,./-,out-of-frame
116,TEAD4--TSPAN9,TSPAN9 (ENSG00000011105.14),TEAD4 (ENSG00000197905.10),PR-vFBZ2h,ACH-000001,4,213,0.07795646026453004,1,1,2,+/+,+/+,.
117,TTLL5--TUBB2B,TUBB2B (ENSG00000137285.11),TTLL5 (ENSG00000119685.20),PR-vFBZ2h,ACH-000001,14,591,0.2728476109258552,4,1,9,-/-,+/-,out-of-frame
118,UBALD1--UBN1,UBN1 (ENSG00000118900.15),UBALD1 (ENSG00000153443.13),PR-vFBZ2h,ACH-000001,6,217,0.11693469039679506,3,2,1,+/+,-/-,in-frame
119,CCDC26--MRPL1,CCDC26 (ENSG00000229140.11),MRPL1 (ENSG00000169288.18),PR-yEldOx,ACH-000002,13,2148,0.2274126178386586,1,4,8,-/-,+/+,.
120,COL14A1--FGFR2,FGFR2 (ENSG00000066468.24),COL14A1 (ENSG00000187955.12),PR-yEldOx,ACH-000002,2,3,0.03498655659056286,1,1,0,-/-,+/+,in-frame
121,CYFIP2--PLCG2,CYFIP2 (ENSG00000055163.20),PLCG2 (ENSG00000197943.10),PR-yEldOx,ACH-000002,18,202,0.31487900931506574,7,7,4,+/+,+/+,in-frame
122,FBRSL1--NOC4L,FBRSL1 (ENSG00000112787.14),NOC4L (ENSG00000184967.7),PR-yEldOx,ACH-000002,3,589,0.05247983488584429,0,1,2,+/+,+/+,.
123,HIF1A--RP11-217O12.1,HIF1A (ENSG00000100644.17),RP11-217O12.1 (.),PR-yEldOx,ACH-000002,14,65,0.24490589613394,2,3,9,+/+,./+,out-of-frame
124,LINC02817--MIA3,MIA3 (ENSG00000154305.18),LINC02817 (.),PR-yEldOx,ACH-000002,2,19,0.03498655659056286,2,0,0,+/+,./-,out-of-frame
125,MPDU1--TP53,TP53 (ENSG00000141510.18),MPDU1 (ENSG00000129255.16),PR-yEldOx,ACH-000002,3,57,0.05247983488584429,1,1,1,-/-,+/-,.
126,MRPL1--MYC,MRPL1 (ENSG00000169288.18),MYC (ENSG00000136997.21),PR-yEldOx,ACH-000002,2,3260,0.03498655659056286,1,0,1,+/+,+/+,out-of-frame
127,PDCD6--PDCD6,PDCD6 (ENSG00000249915.8),PDCD6 (ENSG00000249915.8),PR-yEldOx,ACH-000002,4,46,0.06997311318112572,1,1,2,+/.,+/.,.
128,SFRP2--TMEM47,SFRP2 (ENSG00000145423.5),TMEM47 (.),PR-yEldOx,ACH-000002,2,1,0.03498655659056286,1,1,0,-/-,./-,out-of-frame
129,TASOR2--ZNF331,TASOR2 (ENSG00000108021.20),ZNF331 (ENSG00000130844.19),PR-yEldOx,ACH-000002,2,69,0.03498655659056286,1,1,0,+/+,+/+,.
130,TXNDC15--UCHL5,UCHL5 (ENSG00000116750.14),TXNDC15 (ENSG00000113621.15),PR-yEldOx,ACH-000002,2,162,0.03498655659056286,1,0,1,-/-,+/+,in-frame
131,AC092155.4--EHBP1,EHBP1 (ENSG00000115504.15),AC092155.4 (.),PR-jIbcm8,ACH-000003,7,226,0.11165929087927991,2,1,4,+/+,./+,out-of-frame
132,AC092155.4--EHBP1,EHBP1 (ENSG00000115504.15),AC092155.4 (ENSG00000226622.6),PR-jIbcm8,ACH-000003,30,229,0.47853981805405676,8,6,16,+/+,-/+,out-of-frame
133,AC112229.1--LINC01123,LINC01123 (ENSG00000204588.5),AC112229.1 (.),PR-jIbcm8,ACH-000003,5,831,0.0797566363423428,3,2,0,+/+,./-,.
134,ARHGAP11B--OTUD7A,ARHGAP11B (ENSG00000285077.2),OTUD7A (ENSG00000169918.10),PR-jIbcm8,ACH-000003,3,67,0.047853981805405676,1,0,2,+/+,-/-,.
135,ARL3--CYP17A1,ARL3 (ENSG00000138175.9),CYP17A1 (ENSG00000148795.7),PR-jIbcm8,ACH-000003,6,285,0.09570796361081135,1,1,4,-/-,-/+,out-of-frame
136,ARL3--WBP1L,ARL3 (ENSG00000138175.9),WBP1L (ENSG00000166272.18),PR-jIbcm8,ACH-000003,14,571,0.22331858175855981,2,3,9,-/-,+/+,out-of-frame
137,ATF7IP2--CCNF,CCNF (ENSG00000162063.13),ATF7IP2 (ENSG00000166669.13),PR-jIbcm8,ACH-000003,9,7,0.14356194541621703,2,2,5,+/+,+/-,.
138,BEST3--PTPN21,PTPN21 (ENSG00000070778.13),BEST3 (.),PR-jIbcm8,ACH-000003,3,61,0.047853981805405676,2,0,1,-/-,./-,out-of-frame
139,BRCA2--N4BP2L2,BRCA2 (ENSG00000139618.17),N4BP2L2 (ENSG00000244754.9),PR-jIbcm8,ACH-000003,33,179,0.5263937998594624,9,9,15,+/+,-/-,in-frame
