seq_depth	seq_id	gene_fusion	Tool_Breakpoint	Distance_from_Simulated_Breakpoint	Algorithm	values_vector	Breakpoint_number
10GB	85%	ENSG00000104957:ENSG00000104518	CTATLRB1	-1	CTAT-LR-Fusion	-1	Breakpoint_1
10GB	85%	ENSG00000104957:ENSG00000104518	CTATLRB2	-1	CTAT-LR-Fusion	-1	Breakpoint_2
10GB	85%	ENSG00000132122:ENSG00000179082	FSB1	-4184	FusionSeeker	-4184	Breakpoint_1
10GB	85%	ENSG00000132122:ENSG00000179082	FSB2	-1	FusionSeeker	-1	Breakpoint_2
10GB	85%	ENSG00000157916:ENSG00000205835	FSB1	2	FusionSeeker	2	Breakpoint_1
10GB	85%	ENSG00000157916:ENSG00000205835	FSB2	3176	FusionSeeker	3176	Breakpoint_2
10GB	85%	ENSG00000157916:ENSG00000205835	LB1	-1	LongGF	-1	Breakpoint_1
10GB	85%	ENSG00000157916:ENSG00000205835	LB2	3176	LongGF	3176	Breakpoint_2
10GB	85%	ENSG00000157916:ENSG00000205835	JB1	-5	JAFFAL	-5	Breakpoint_1
10GB	85%	ENSG00000157916:ENSG00000205835	JB2	3176	JAFFAL	3176	Breakpoint_2
10GB	85%	ENSG00000157916:ENSG00000205835	CTATLRB1	5	CTAT-LR-Fusion	5	Breakpoint_1
10GB	85%	ENSG00000157916:ENSG00000205835	CTATLRB2	3177	CTAT-LR-Fusion	3177	Breakpoint_2
10GB	85%	ENSG00000291093:ENSG00000096746	FSB1	-1	FusionSeeker	-1	Breakpoint_1
10GB	85%	ENSG00000291093:ENSG00000096746	FSB2	-2	FusionSeeker	-2	Breakpoint_2
10GB	85%	ENSG00000074219:ENSG00000236172	FSB1	-2545	FusionSeeker	-2545	Breakpoint_1
10GB	85%	ENSG00000074219:ENSG00000236172	FSB2	1070	FusionSeeker	1070	Breakpoint_2
10GB	85%	ENSG00000180304:ENSG00000105856	FSB1	-12679	FusionSeeker	-12679	Breakpoint_1
10GB	85%	ENSG00000180304:ENSG00000105856	FSB2	-2	FusionSeeker	-2	Breakpoint_2
10GB	85%	ENSG00000148362:ENSG00000169583	FSB1	-218	FusionSeeker	-218	Breakpoint_1
10GB	85%	ENSG00000148362:ENSG00000169583	FSB2	230	FusionSeeker	230	Breakpoint_2
10GB	85%	ENSG00000108094:ENSG00000085788	FSB1	-264	FusionSeeker	-264	Breakpoint_1
10GB	85%	ENSG00000108094:ENSG00000085788	FSB2	-2	FusionSeeker	-2	Breakpoint_2
10GB	85%	ENSG00000108094:ENSG00000085788	JB1	-261	JAFFAL	-261	Breakpoint_1
10GB	85%	ENSG00000108094:ENSG00000085788	JB2	0	JAFFAL	0	Breakpoint_2
10GB	85%	ENSG00000108094:ENSG00000085788	CTATLRB1	-5948	CTAT-LR-Fusion	-5948	Breakpoint_1
10GB	85%	ENSG00000108094:ENSG00000085788	CTATLRB2	-1	CTAT-LR-Fusion	-1	Breakpoint_2
10GB	85%	ENSG00000135241:ENSG00000225612	FSB1	-122	FusionSeeker	-122	Breakpoint_1
10GB	85%	ENSG00000135241:ENSG00000225612	FSB2	51	FusionSeeker	51	Breakpoint_2
10GB	85%	ENSG00000135241:ENSG00000225612	CTATLRB1	-23660	CTAT-LR-Fusion	-23660	Breakpoint_1
10GB	85%	ENSG00000135241:ENSG00000225612	CTATLRB2	-128	CTAT-LR-Fusion	-128	Breakpoint_2
10GB	85%	ENSG00000185664:ENSG00000251584	FSB1	-4687	FusionSeeker	-4687	Breakpoint_1
10GB	85%	ENSG00000185664:ENSG00000251584	FSB2	-1	FusionSeeker	-1	Breakpoint_2
10GB	85%	ENSG00000103415:ENSG00000103160	FSB1	-1	FusionSeeker	-1	Breakpoint_1
10GB	85%	ENSG00000103415:ENSG00000103160	FSB2	1245	FusionSeeker	1245	Breakpoint_2
10GB	85%	ENSG00000103415:ENSG00000103160	CTATLRB1	-1226	CTAT-LR-Fusion	-1226	Breakpoint_1
10GB	85%	ENSG00000103415:ENSG00000103160	CTATLRB2	1267	CTAT-LR-Fusion	1267	Breakpoint_2
10GB	85%	ENSG00000206384:ENSG00000196455	FSB1	-5	FusionSeeker	-5	Breakpoint_1
10GB	85%	ENSG00000206384:ENSG00000196455	FSB2	537	FusionSeeker	537	Breakpoint_2
10GB	85%	ENSG00000206384:ENSG00000196455	CTATLRB1	-2	CTAT-LR-Fusion	-2	Breakpoint_1
10GB	85%	ENSG00000206384:ENSG00000196455	CTATLRB2	550	CTAT-LR-Fusion	550	Breakpoint_2
10GB	85%	ENSG00000197872:ENSG00000150722	FSB1	-41965	FusionSeeker	-41965	Breakpoint_1
10GB	85%	ENSG00000197872:ENSG00000150722	FSB2	4	FusionSeeker	4	Breakpoint_2
10GB	85%	ENSG00000109971:ENSG00000095209	FSB1	-984	FusionSeeker	-984	Breakpoint_1
10GB	85%	ENSG00000109971:ENSG00000095209	FSB2	-1	FusionSeeker	-1	Breakpoint_2
10GB	85%	ENSG00000204256:ENSG00000184634	FSB1	-8	FusionSeeker	-8	Breakpoint_1
10GB	85%	ENSG00000204256:ENSG00000184634	FSB2	-1	FusionSeeker	-1	Breakpoint_2
10GB	85%	ENSG00000260830:ENSG00000100461	FSB1	0	FusionSeeker	0	Breakpoint_1
10GB	85%	ENSG00000260830:ENSG00000100461	FSB2	1206	FusionSeeker	1206	Breakpoint_2
10GB	85%	ENSG00000167588:ENSG00000110887	FSB1	-232	FusionSeeker	-232	Breakpoint_1
10GB	85%	ENSG00000167588:ENSG00000110887	FSB2	-1	FusionSeeker	-1	Breakpoint_2
10GB	85%	ENSG00000167588:ENSG00000110887	CTATLRB1	-231	CTAT-LR-Fusion	-231	Breakpoint_1
10GB	85%	ENSG00000167588:ENSG00000110887	CTATLRB2	-1	CTAT-LR-Fusion	-1	Breakpoint_2
10GB	85%	ENSG00000167588:ENSG00000110887	FSB2	2770	FusionSeeker	2770	Breakpoint_2
10GB	85%	ENSG00000235162:ENSG00000286520	FSB1	-799	FusionSeeker	-799	Breakpoint_1
10GB	85%	ENSG00000235162:ENSG00000286520	FSB2	1343	FusionSeeker	1343	Breakpoint_2
10GB	85%	ENSG00000235162:ENSG00000286520	CTATLRB1	-784	CTAT-LR-Fusion	-784	Breakpoint_1
10GB	85%	ENSG00000235162:ENSG00000286520	CTATLRB2	1344	CTAT-LR-Fusion	1344	Breakpoint_2
10GB	85%	ENSG00000213983:ENSG00000126777	FSB1	-662	FusionSeeker	-662	Breakpoint_1
10GB	85%	ENSG00000213983:ENSG00000126777	FSB2	-1	FusionSeeker	-1	Breakpoint_2
10GB	85%	ENSG00000213983:ENSG00000126777	JB1	-661	JAFFAL	-661	Breakpoint_1
10GB	85%	ENSG00000213983:ENSG00000126777	JB2	1	JAFFAL	1	Breakpoint_2
10GB	85%	ENSG00000213983:ENSG00000126777	CTATLRB1	-662	CTAT-LR-Fusion	-662	Breakpoint_1
10GB	85%	ENSG00000213983:ENSG00000126777	CTATLRB2	-1	CTAT-LR-Fusion	-1	Breakpoint_2
10GB	85%	ENSG00000213983:ENSG00000126777	FSB2	2515	FusionSeeker	2515	Breakpoint_2
10GB	85%	ENSG00000288769:ENSG00000111907	FSB1	-66	FusionSeeker	-66	Breakpoint_1
10GB	85%	ENSG00000288769:ENSG00000111907	FSB2	4	FusionSeeker	4	Breakpoint_2
10GB	85%	ENSG00000288769:ENSG00000111907	CTATLRB1	-23	CTAT-LR-Fusion	-23	Breakpoint_1
10GB	85%	ENSG00000288769:ENSG00000111907	CTATLRB2	-1	CTAT-LR-Fusion	-1	Breakpoint_2
10GB	85%	ENSG00000269692:ENSG00000273994	FSB1	0	FusionSeeker	0	Breakpoint_1
10GB	85%	ENSG00000269692:ENSG00000273994	FSB2	283	FusionSeeker	283	Breakpoint_2
10GB	85%	ENSG00000125898:ENSG00000234948	FSB1	-3	FusionSeeker	-3	Breakpoint_1
10GB	85%	ENSG00000125898:ENSG00000234948	FSB2	24628	FusionSeeker	24628	Breakpoint_2
10GB	85%	ENSG00000244754:ENSG00000233124	FSB1	-3048	FusionSeeker	-3048	Breakpoint_1
10GB	85%	ENSG00000244754:ENSG00000233124	FSB2	4069	FusionSeeker	4069	Breakpoint_2
10GB	85%	ENSG00000244754:ENSG00000233124	CTATLRB1	-3080	CTAT-LR-Fusion	-3080	Breakpoint_1
10GB	85%	ENSG00000244754:ENSG00000233124	CTATLRB2	4150	CTAT-LR-Fusion	4150	Breakpoint_2
10GB	85%	ENSG00000143891:ENSG00000132300	FSB1	-1	FusionSeeker	-1	Breakpoint_1
10GB	85%	ENSG00000143891:ENSG00000132300	FSB2	2	FusionSeeker	2	Breakpoint_2
10GB	85%	ENSG00000143891:ENSG00000132300	CTATLRB1	-1	CTAT-LR-Fusion	-1	Breakpoint_1
10GB	85%	ENSG00000143891:ENSG00000132300	CTATLRB2	-1	CTAT-LR-Fusion	-1	Breakpoint_2
10GB	85%	ENSG00000148604:ENSG00000100811	FSB1	-288	FusionSeeker	-288	Breakpoint_1
10GB	85%	ENSG00000148604:ENSG00000100811	FSB2	5	FusionSeeker	5	Breakpoint_2
10GB	85%	ENSG00000148604:ENSG00000100811	CTATLRB1	-5	CTAT-LR-Fusion	-5	Breakpoint_1
10GB	85%	ENSG00000148604:ENSG00000100811	CTATLRB2	-1	CTAT-LR-Fusion	-1	Breakpoint_2
10GB	85%	ENSG00000069329:ENSG00000253327	FSB1	-6271	FusionSeeker	-6271	Breakpoint_1
10GB	85%	ENSG00000069329:ENSG00000253327	FSB2	1	FusionSeeker	1	Breakpoint_2
10GB	85%	ENSG00000113569:ENSG00000145675	FSB1	-19482	FusionSeeker	-19482	Breakpoint_1
10GB	85%	ENSG00000113569:ENSG00000145675	FSB2	1	FusionSeeker	1	Breakpoint_2
10GB	85%	ENSG00000113569:ENSG00000145675	FSB1	-6421	FusionSeeker	-6421	Breakpoint_1
10GB	85%	ENSG00000113569:ENSG00000145675	FSB2	0	FusionSeeker	0	Breakpoint_2
10GB	85%	ENSG00000095981:ENSG00000164627	FSB1	-3347	FusionSeeker	-3347	Breakpoint_1
10GB	85%	ENSG00000095981:ENSG00000164627	FSB2	6556	FusionSeeker	6556	Breakpoint_2
10GB	85%	ENSG00000105889:ENSG00000075303	FSB1	-6818	FusionSeeker	-6818	Breakpoint_1
10GB	85%	ENSG00000105889:ENSG00000075303	FSB2	13552	FusionSeeker	13552	Breakpoint_2
10GB	90%	ENSG00000196935:ENSG00000283625	FSB1	3	FusionSeeker	3	Breakpoint_1
10GB	90%	ENSG00000196935:ENSG00000283625	FSB2	752	FusionSeeker	752	Breakpoint_2
10GB	90%	ENSG00000149273:ENSG00000262898	FSB1	-757	FusionSeeker	-757	Breakpoint_1
10GB	90%	ENSG00000149273:ENSG00000262898	FSB2	-3	FusionSeeker	-3	Breakpoint_2
10GB	90%	ENSG00000149273:ENSG00000262898	CTATLRB1	-754	CTAT-LR-Fusion	-754	Breakpoint_1
10GB	90%	ENSG00000149273:ENSG00000262898	CTATLRB2	-13	CTAT-LR-Fusion	-13	Breakpoint_2
10GB	90%	ENSG00000149273:ENSG00000262898	CTATLRB1	-758	CTAT-LR-Fusion	-758	Breakpoint_1
10GB	90%	ENSG00000182621:ENSG00000124155	FSB1	-1	FusionSeeker	-1	Breakpoint_1
10GB	90%	ENSG00000182621:ENSG00000124155	FSB2	-1	FusionSeeker	-1	Breakpoint_2
10GB	90%	ENSG00000182621:ENSG00000124155	JB1	-1	JAFFAL	-1	Breakpoint_1
10GB	90%	ENSG00000182621:ENSG00000124155	JB2	0	JAFFAL	0	Breakpoint_2
10GB	90%	ENSG00000182621:ENSG00000124155	CTATLRB1	0	CTAT-LR-Fusion	0	Breakpoint_1
10GB	90%	ENSG00000182621:ENSG00000124155	CTATLRB2	0	CTAT-LR-Fusion	0	Breakpoint_2
10GB	90%	ENSG00000162882:ENSG00000288886	FSB1	-9180	FusionSeeker	-9180	Breakpoint_1
10GB	90%	ENSG00000162882:ENSG00000288886	FSB2	-2	FusionSeeker	-2	Breakpoint_2
10GB	90%	ENSG00000147434:ENSG00000164953	FSB1	-361	FusionSeeker	-361	Breakpoint_1
10GB	90%	ENSG00000147434:ENSG00000164953	FSB2	-14	FusionSeeker	-14	Breakpoint_2
10GB	90%	ENSG00000147434:ENSG00000164953	JB1	-351	JAFFAL	-351	Breakpoint_1
10GB	90%	ENSG00000147434:ENSG00000164953	JB2	-1	JAFFAL	-1	Breakpoint_2
10GB	90%	ENSG00000009830:ENSG00000087258	FSB1	-1564	FusionSeeker	-1564	Breakpoint_1
10GB	90%	ENSG00000009830:ENSG00000087258	FSB2	1	FusionSeeker	1	Breakpoint_2
10GB	90%	ENSG00000009830:ENSG00000087258	LB1	-1564	LongGF	-1564	Breakpoint_1
10GB	90%	ENSG00000009830:ENSG00000087258	LB2	0	LongGF	0	Breakpoint_2
10GB	90%	ENSG00000009830:ENSG00000087258	JB1	-1563	JAFFAL	-1563	Breakpoint_1
10GB	90%	ENSG00000009830:ENSG00000087258	JB2	1	JAFFAL	1	Breakpoint_2
10GB	90%	ENSG00000009830:ENSG00000087258	CTATLRB1	-1564	CTAT-LR-Fusion	-1564	Breakpoint_1
10GB	90%	ENSG00000009830:ENSG00000087258	CTATLRB2	-1	CTAT-LR-Fusion	-1	Breakpoint_2
10GB	90%	ENSG00000104957:ENSG00000104518	FSB1	-1	FusionSeeker	-1	Breakpoint_1
10GB	90%	ENSG00000104957:ENSG00000104518	FSB2	-1	FusionSeeker	-1	Breakpoint_2
10GB	90%	ENSG00000104957:ENSG00000104518	CTATLRB1	-1	CTAT-LR-Fusion	-1	Breakpoint_1
10GB	90%	ENSG00000104957:ENSG00000104518	CTATLRB2	-1	CTAT-LR-Fusion	-1	Breakpoint_2
10GB	90%	ENSG00000132122:ENSG00000179082	FSB1	-4184	FusionSeeker	-4184	Breakpoint_1
10GB	90%	ENSG00000132122:ENSG00000179082	FSB2	-2	FusionSeeker	-2	Breakpoint_2
10GB	90%	ENSG00000132122:ENSG00000179082	CTATLRB1	-4189	CTAT-LR-Fusion	-4189	Breakpoint_1
10GB	90%	ENSG00000132122:ENSG00000179082	CTATLRB2	-16	CTAT-LR-Fusion	-16	Breakpoint_2
10GB	90%	ENSG00000152223:ENSG00000152229	FSB1	-12829	FusionSeeker	-12829	Breakpoint_1
10GB	90%	ENSG00000152223:ENSG00000152229	FSB2	1912	FusionSeeker	1912	Breakpoint_2
10GB	90%	ENSG00000215124:ENSG00000225102	FSB1	-1152	FusionSeeker	-1152	Breakpoint_1
10GB	90%	ENSG00000215124:ENSG00000225102	FSB2	1698	FusionSeeker	1698	Breakpoint_2
10GB	90%	ENSG00000291093:ENSG00000096746	FSB1	-1	FusionSeeker	-1	Breakpoint_1
10GB	90%	ENSG00000291093:ENSG00000096746	FSB2	-2	FusionSeeker	-2	Breakpoint_2
10GB	90%	ENSG00000074219:ENSG00000236172	FSB1	-2543	FusionSeeker	-2543	Breakpoint_1
10GB	90%	ENSG00000074219:ENSG00000236172	FSB2	1071	FusionSeeker	1071	Breakpoint_2
10GB	90%	ENSG00000131037:ENSG00000125503	FSB1	-1	FusionSeeker	-1	Breakpoint_1
10GB	90%	ENSG00000131037:ENSG00000125503	FSB2	639	FusionSeeker	639	Breakpoint_2
10GB	90%	ENSG00000229606:ENSG00000289577	FSB1	0	FusionSeeker	0	Breakpoint_1
10GB	90%	ENSG00000229606:ENSG00000289577	FSB2	2876	FusionSeeker	2876	Breakpoint_2
10GB	90%	ENSG00000229606:ENSG00000289577	GB1	-30540482	Genion	-30540482	Breakpoint_1
10GB	90%	ENSG00000229606:ENSG00000289577	GB2	-30578579	Genion	-30578579	Breakpoint_2
10GB	90%	ENSG00000166348:ENSG00000165868	FSB1	-30006	FusionSeeker	-30006	Breakpoint_1
10GB	90%	ENSG00000166348:ENSG00000165868	FSB2	4294	FusionSeeker	4294	Breakpoint_2
10GB	90%	ENSG00000117758:ENSG00000159176	FSB1	-1	FusionSeeker	-1	Breakpoint_1
10GB	90%	ENSG00000117758:ENSG00000159176	FSB2	1254	FusionSeeker	1254	Breakpoint_2
10GB	90%	ENSG00000117758:ENSG00000159176	LB1	-1	LongGF	-1	Breakpoint_1
10GB	90%	ENSG00000117758:ENSG00000159176	LB2	1254	LongGF	1254	Breakpoint_2
10GB	90%	ENSG00000117758:ENSG00000159176	CTATLRB1	0	CTAT-LR-Fusion	0	Breakpoint_1
10GB	90%	ENSG00000117758:ENSG00000159176	CTATLRB2	1256	CTAT-LR-Fusion	1256	Breakpoint_2
10GB	90%	ENSG00000225510:ENSG00000102471	FSB1	-1	FusionSeeker	-1	Breakpoint_1
10GB	90%	ENSG00000225510:ENSG00000102471	FSB2	-1	FusionSeeker	-1	Breakpoint_2
10GB	90%	ENSG00000225510:ENSG00000102471	CTATLRB1	7	CTAT-LR-Fusion	7	Breakpoint_1
10GB	90%	ENSG00000225510:ENSG00000102471	CTATLRB2	5	CTAT-LR-Fusion	5	Breakpoint_2
10GB	90%	ENSG00000225676:ENSG00000136861	FSB1	-142	FusionSeeker	-142	Breakpoint_1
10GB	90%	ENSG00000225676:ENSG00000136861	FSB2	5738	FusionSeeker	5738	Breakpoint_2
10GB	90%	ENSG00000225676:ENSG00000136861	JB1	-141	JAFFAL	-141	Breakpoint_1
10GB	90%	ENSG00000225676:ENSG00000136861	JB2	386	JAFFAL	386	Breakpoint_2
10GB	90%	ENSG00000148362:ENSG00000169583	FSB1	-1	FusionSeeker	-1	Breakpoint_1
10GB	90%	ENSG00000148362:ENSG00000169583	FSB2	496	FusionSeeker	496	Breakpoint_2
10GB	90%	ENSG00000148362:ENSG00000169583	LB1	-2	LongGF	-2	Breakpoint_1
10GB	90%	ENSG00000148362:ENSG00000169583	LB2	229	LongGF	229	Breakpoint_2
10GB	90%	ENSG00000148362:ENSG00000169583	CTATLRB1	-1	CTAT-LR-Fusion	-1	Breakpoint_1
10GB	90%	ENSG00000148362:ENSG00000169583	CTATLRB2	496	CTAT-LR-Fusion	496	Breakpoint_2
10GB	90%	ENSG00000060339:ENSG00000228451	FSB1	-1	FusionSeeker	-1	Breakpoint_1
10GB	90%	ENSG00000060339:ENSG00000228451	FSB2	733	FusionSeeker	733	Breakpoint_2
10GB	90%	ENSG00000060339:ENSG00000228451	CTATLRB1	0	CTAT-LR-Fusion	0	Breakpoint_1
10GB	90%	ENSG00000060339:ENSG00000228451	CTATLRB2	734	CTAT-LR-Fusion	734	Breakpoint_2
10GB	90%	ENSG00000108094:ENSG00000085788	FSB1	-264	FusionSeeker	-264	Breakpoint_1
10GB	90%	ENSG00000108094:ENSG00000085788	FSB2	-2	FusionSeeker	-2	Breakpoint_2
10GB	90%	ENSG00000108094:ENSG00000085788	JB1	-261	JAFFAL	-261	Breakpoint_1
10GB	90%	ENSG00000108094:ENSG00000085788	JB2	0	JAFFAL	0	Breakpoint_2
10GB	90%	ENSG00000108094:ENSG00000085788	CTATLRB1	-5948	CTAT-LR-Fusion	-5948	Breakpoint_1
10GB	90%	ENSG00000108094:ENSG00000085788	CTATLRB2	-1	CTAT-LR-Fusion	-1	Breakpoint_2
10GB	90%	ENSG00000135241:ENSG00000225612	FSB1	-120	FusionSeeker	-120	Breakpoint_1
10GB	90%	ENSG00000135241:ENSG00000225612	FSB2	10	FusionSeeker	10	Breakpoint_2
10GB	90%	ENSG00000135241:ENSG00000225612	JB1	-121	JAFFAL	-121	Breakpoint_1
10GB	90%	ENSG00000135241:ENSG00000225612	JB2	13	JAFFAL	13	Breakpoint_2
10GB	90%	ENSG00000135241:ENSG00000225612	CTATLRB1	-23660	CTAT-LR-Fusion	-23660	Breakpoint_1
10GB	90%	ENSG00000135241:ENSG00000225612	CTATLRB2	-128	CTAT-LR-Fusion	-128	Breakpoint_2
10GB	90%	ENSG00000103415:ENSG00000103160	FSB1	-1228	FusionSeeker	-1228	Breakpoint_1
10GB	90%	ENSG00000103415:ENSG00000103160	FSB2	1241	FusionSeeker	1241	Breakpoint_2
10GB	90%	ENSG00000103415:ENSG00000103160	CTATLRB1	-1226	CTAT-LR-Fusion	-1226	Breakpoint_1
10GB	90%	ENSG00000103415:ENSG00000103160	CTATLRB2	1267	CTAT-LR-Fusion	1267	Breakpoint_2
10GB	90%	ENSG00000114638:ENSG00000121578	FSB1	0	FusionSeeker	0	Breakpoint_1
10GB	90%	ENSG00000114638:ENSG00000121578	FSB2	947	FusionSeeker	947	Breakpoint_2
10GB	90%	ENSG00000114638:ENSG00000121578	LB1	-1	LongGF	-1	Breakpoint_1
10GB	90%	ENSG00000114638:ENSG00000121578	LB2	943	LongGF	943	Breakpoint_2
10GB	90%	ENSG00000114638:ENSG00000121578	JB1	-3	JAFFAL	-3	Breakpoint_1
10GB	90%	ENSG00000114638:ENSG00000121578	JB2	948	JAFFAL	948	Breakpoint_2
10GB	90%	ENSG00000114638:ENSG00000121578	CTATLRB1	0	CTAT-LR-Fusion	0	Breakpoint_1
10GB	90%	ENSG00000114638:ENSG00000121578	CTATLRB2	948	CTAT-LR-Fusion	948	Breakpoint_2
10GB	90%	ENSG00000197872:ENSG00000150722	FSB1	-41961	FusionSeeker	-41961	Breakpoint_1
10GB	90%	ENSG00000197872:ENSG00000150722	FSB2	1	FusionSeeker	1	Breakpoint_2
10GB	90%	ENSG00000109971:ENSG00000095209	FSB1	-1510	FusionSeeker	-1510	Breakpoint_1
10GB	90%	ENSG00000109971:ENSG00000095209	FSB2	-1	FusionSeeker	-1	Breakpoint_2
10GB	90%	ENSG00000167419:ENSG00000005381	FSB1	-1	FusionSeeker	-1	Breakpoint_1
10GB	90%	ENSG00000167419:ENSG00000005381	FSB2	1006	FusionSeeker	1006	Breakpoint_2
10GB	90%	ENSG00000167419:ENSG00000005381	JB1	0	JAFFAL	0	Breakpoint_1
10GB	90%	ENSG00000167419:ENSG00000005381	JB2	1006	JAFFAL	1006	Breakpoint_2
10GB	90%	ENSG00000167419:ENSG00000005381	CTATLRB1	3	CTAT-LR-Fusion	3	Breakpoint_1
10GB	90%	ENSG00000167419:ENSG00000005381	CTATLRB2	1007	CTAT-LR-Fusion	1007	Breakpoint_2
10GB	90%	ENSG00000167419:ENSG00000005381	CTATLRB1	-3	CTAT-LR-Fusion	-3	Breakpoint_1
10GB	90%	ENSG00000204256:ENSG00000184634	FSB1	-1	FusionSeeker	-1	Breakpoint_1
10GB	90%	ENSG00000204256:ENSG00000184634	FSB2	-1	FusionSeeker	-1	Breakpoint_2
10GB	90%	ENSG00000204256:ENSG00000184634	CTATLRB1	-8	CTAT-LR-Fusion	-8	Breakpoint_1
10GB	90%	ENSG00000204256:ENSG00000184634	CTATLRB2	-5	CTAT-LR-Fusion	-5	Breakpoint_2
10GB	90%	ENSG00000090565:ENSG00000167207	FSB1	3	FusionSeeker	3	Breakpoint_1
10GB	90%	ENSG00000090565:ENSG00000167207	FSB2	-1	FusionSeeker	-1	Breakpoint_2
10GB	90%	ENSG00000167588:ENSG00000110887	FSB1	-232	FusionSeeker	-232	Breakpoint_1
10GB	90%	ENSG00000167588:ENSG00000110887	FSB2	-1	FusionSeeker	-1	Breakpoint_2
10GB	90%	ENSG00000167588:ENSG00000110887	CTATLRB1	-231	CTAT-LR-Fusion	-231	Breakpoint_1
10GB	90%	ENSG00000167588:ENSG00000110887	CTATLRB2	-1	CTAT-LR-Fusion	-1	Breakpoint_2
10GB	90%	ENSG00000235162:ENSG00000286520	FSB1	-1	FusionSeeker	-1	Breakpoint_1
10GB	90%	ENSG00000235162:ENSG00000286520	FSB2	1551	FusionSeeker	1551	Breakpoint_2
10GB	90%	ENSG00000235162:ENSG00000286520	JB1	0	JAFFAL	0	Breakpoint_1
10GB	90%	ENSG00000235162:ENSG00000286520	JB2	1343	JAFFAL	1343	Breakpoint_2
10GB	90%	ENSG00000235162:ENSG00000286520	CTATLRB1	0	CTAT-LR-Fusion	0	Breakpoint_1
10GB	90%	ENSG00000235162:ENSG00000286520	CTATLRB2	1344	CTAT-LR-Fusion	1344	Breakpoint_2
10GB	90%	ENSG00000234129:ENSG00000101966	FSB1	-240	FusionSeeker	-240	Breakpoint_1
10GB	90%	ENSG00000234129:ENSG00000101966	FSB2	-2	FusionSeeker	-2	Breakpoint_2
10GB	90%	ENSG00000234129:ENSG00000101966	CTATLRB1	-244	CTAT-LR-Fusion	-244	Breakpoint_1
10GB	90%	ENSG00000234129:ENSG00000101966	CTATLRB2	25752	CTAT-LR-Fusion	25752	Breakpoint_2
