fusion.gene.id	Sequence_Identity	depth	control	Algorithm	overlap	fusionType	Total_Read_Supp	recall_category
ENSG00000081985:ENSG00000184619	95%	100GB	positive	FusionSeeker	6	truncated_tri_fusion	29	Partial_Recall
ENSG00000081985:ENSG00000184619	95%	100GB	positive	GFSeeker	6	truncated_tri_fusion	29	Partial_Recall
ENSG00000081985:ENSG00000184619	95%	100GB	positive	Genion	6	truncated_tri_fusion	21	Partial_Recall
ENSG00000081985:ENSG00000184619	95%	100GB	positive	JAFFAL	6	truncated_tri_fusion	30	Partial_Recall
ENSG00000081985:ENSG00000184619	95%	100GB	positive	LongGF	6	truncated_tri_fusion	20	Partial_Recall
ENSG00000114638:ENSG00000121578	90%	100GB	positive	CTAT-LR-Fusion	6	read_through	33	True_Recall
ENSG00000114638:ENSG00000121578	90%	100GB	positive	FusionSeeker	6	read_through	38	True_Recall
ENSG00000114638:ENSG00000121578	90%	100GB	positive	GFSeeker	6	read_through	31	True_Recall
ENSG00000114638:ENSG00000121578	90%	100GB	positive	Genion	6	read_through	27	True_Recall
ENSG00000114638:ENSG00000121578	90%	100GB	positive	JAFFAL	6	read_through	30	True_Recall
ENSG00000114638:ENSG00000121578	90%	100GB	positive	LongGF	6	read_through	29	True_Recall
ENSG00000136504:ENSG00000277586	90%	100GB	positive	CTAT-LR-Fusion	6	truncated_tri_fusion	25	Partial_Recall
ENSG00000136504:ENSG00000277586	90%	100GB	positive	FusionSeeker	6	truncated_tri_fusion	37	Partial_Recall
ENSG00000136504:ENSG00000277586	90%	100GB	positive	GFSeeker	6	truncated_tri_fusion	4	Partial_Recall
ENSG00000136504:ENSG00000277586	90%	100GB	positive	Genion	6	truncated_tri_fusion	31	Partial_Recall
ENSG00000136504:ENSG00000277586	90%	100GB	positive	JAFFAL	6	truncated_tri_fusion	5	Partial_Recall
ENSG00000136504:ENSG00000277586	90%	100GB	positive	LongGF	6	truncated_tri_fusion	8	Partial_Recall
ENSG00000136504:ENSG00000277586	95%	100GB	positive	CTAT-LR-Fusion	6	truncated_tri_fusion	34	Partial_Recall
ENSG00000136504:ENSG00000277586	95%	100GB	positive	FusionSeeker	6	truncated_tri_fusion	36	Partial_Recall
ENSG00000136504:ENSG00000277586	95%	100GB	positive	GFSeeker	6	truncated_tri_fusion	29	Partial_Recall
ENSG00000136504:ENSG00000277586	95%	100GB	positive	Genion	6	truncated_tri_fusion	37	Partial_Recall
ENSG00000136504:ENSG00000277586	95%	100GB	positive	JAFFAL	6	truncated_tri_fusion	20	Partial_Recall
ENSG00000136504:ENSG00000277586	95%	100GB	positive	LongGF	6	truncated_tri_fusion	28	Partial_Recall
ENSG00000157916:ENSG00000205835	85%	100GB	positive	CTAT-LR-Fusion	6	hybrid	14	True_Recall
ENSG00000157916:ENSG00000205835	85%	100GB	positive	FusionSeeker	6	hybrid	26	True_Recall
ENSG00000157916:ENSG00000205835	85%	100GB	positive	GFSeeker	6	hybrid	26	True_Recall
ENSG00000157916:ENSG00000205835	85%	100GB	positive	Genion	6	hybrid	28	True_Recall
ENSG00000157916:ENSG00000205835	85%	100GB	positive	JAFFAL	6	hybrid	22	True_Recall
ENSG00000157916:ENSG00000205835	85%	100GB	positive	LongGF	6	hybrid	23	True_Recall
ENSG00000168676:ENSG00000198677	85%	100GB	positive	CTAT-LR-Fusion	6	truncated_tri_fusion	11	Partial_Recall
ENSG00000168676:ENSG00000198677	85%	100GB	positive	FusionSeeker	6	truncated_tri_fusion	108	Partial_Recall
ENSG00000168676:ENSG00000198677	85%	100GB	positive	GFSeeker	6	truncated_tri_fusion	40	Partial_Recall
ENSG00000168676:ENSG00000198677	85%	100GB	positive	Genion	6	truncated_tri_fusion	41	Partial_Recall
ENSG00000168676:ENSG00000198677	85%	100GB	positive	JAFFAL	6	truncated_tri_fusion	5	Partial_Recall
ENSG00000168676:ENSG00000198677	85%	100GB	positive	LongGF	6	truncated_tri_fusion	24	Partial_Recall
